id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,home_margin,total_points
401426532,2022,1,regular,2022-08-27T16:00:00.000Z,False,True,False,False,13688.0,3796.0,Houchens Industries-L.T. Smith Stadium,98,Western Kentucky,fbs,Conference USA,38.0,"[7, 14, 0, 17]",0.9542764266226265,1684.0,1684.0,2046,Austin Peay,fcs,Atlantic Sun,27.0,"[10, 7, 3, 7]",0.04572357337737354,,,2.6135509766,,,11.0,65.0
401405059,2022,1,regular,2022-08-27T16:30:00.000Z,False,True,True,True,,3504.0,Aviva Stadium,77,Northwestern,fbs,Big Ten,31.0,"[3, 14, 7, 7]",0.5475434597351944,1361.0,1381.0,158,Nebraska,fbs,Big Ten,28.0,"[7, 7, 14, 0]",0.45245654026480564,1636.0,1616.0,8.3493556676,,,3.0,59.0
401439512,2022,1,regular,2022-08-27T19:00:00.000Z,False,True,True,False,,,,125762,Florida Memorial University,,,39.0,"[13, 13, 6, 7]",,,,2206,Edward Waters,ii,SIAC,34.0,"[0, 0, 21, 13]",,,,,,,5.0,73.0
401413256,2022,1,regular,2022-08-27T19:30:00.000Z,False,True,False,False,19579.0,6501.0,Allegiant Stadium,2439,UNLV,fbs,Mountain West,52.0,"[10, 35, 0, 7]",0.9988837999616828,1300.0,1300.0,304,Idaho State,fcs,Big Sky,21.0,"[7, 0, 7, 7]",0.00111620003831725,,,1.5942419241,,,31.0,73.0
401413213,2022,1,regular,2022-08-27T19:30:00.000Z,False,True,True,False,,3689.0,Cramton Bowl,55,Jacksonville State,fcs,Atlantic Sun,42.0,"[7, 14, 21, 0]",0.9988170830316713,,,2617,Stephen F. Austin,fcs,Western Athletic,17.0,"[7, 10, 0, 0]",0.0011829169683287288,,,5.2414690984,,FCS Kickoff,25.0,59.0
401405058,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,37832.0,3832.0,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,38.0,"[7, 10, 7, 14]",0.9974722912053572,1496.0,1584.0,2751,Wyoming,fbs,Mountain West,6.0,"[3, 0, 3, 0]",0.0025277087946428134,1497.0,1409.0,2.571416914,,,32.0,44.0
401404146,2022,1,regular,2022-08-27T20:00:00.000Z,False,True,False,False,19553.0,3905.0,Maverik Stadium,328,Utah State,fbs,Mountain West,31.0,"[0, 24, 0, 7]",0.9891655857079721,1566.0,1555.0,41,UConn,fbs,FBS Independents,20.0,"[14, 0, 0, 6]",0.010834414292027916,1117.0,1128.0,4.5637067523,,,11.0,51.0
401411090,2022,1,regular,2022-08-27T21:00:00.000Z,False,True,False,False,51207.0,3697.0,Doak Campbell Stadium,52,Florida State,fbs,ACC,47.0,"[20, 6, 14, 7]",0.9989422079694538,1501.0,1501.0,2184,Duquesne,fcs,NEC,7.0,"[0, 0, 7, 0]",0.001057792030546234,,,1.058953588,,,40.0,54.0
401426530,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,False,True,19571.0,3715.0,FAU Stadium,2226,Florida Atlantic,fbs,Conference USA,43.0,"[10, 16, 7, 10]",0.9988415542177018,1427.0,1488.0,2429,Charlotte,fbs,Conference USA,13.0,"[7, 0, 6, 0]",0.0011584457822981786,1272.0,1211.0,6.6262524505,,,30.0,56.0
401422922,2022,1,regular,2022-08-27T23:00:00.000Z,False,True,False,False,,4417.0,Five Star Stadium at the Moye Complex,2382,Mercer,fcs,Southern,63.0,"[14, 28, 14, 7]",0.9989681925900179,,,2413,Morehead State,fcs,Pioneer,13.0,"[0, 10, 3, 0]",0.0010318074099820995,,,1.1544784977,,,50.0,76.0
