season,team,conference,statName,statValue
2025,Air Force,Mountain West,firstDowns,23
2025,Air Force,Mountain West,firstDownsOpponent,18
2025,Air Force,Mountain West,fourthDownConversions,1
2025,Air Force,Mountain West,fourthDownConversionsOpponent,1
2025,Air Force,Mountain West,fourthDowns,1
2025,Air Force,Mountain West,fourthDownsOpponent,2
2025,Air Force,Mountain West,fumblesLost,0
2025,Air Force,Mountain West,fumblesLostOpponent,1
2025,Air Force,Mountain West,fumblesRecovered,1
2025,Air Force,Mountain West,fumblesRecoveredOpponent,0
2025,Air Force,Mountain West,games,1
2025,Air Force,Mountain West,interceptions,0
2025,Air Force,Mountain West,interceptionsOpponent,1
2025,Air Force,Mountain West,interceptionTDs,0
2025,Air Force,Mountain West,interceptionYards,3
2025,Air Force,Mountain West,kickReturnsOpponent,1
2025,Air Force,Mountain West,kickReturnTDsOpponent,0
2025,Air Force,Mountain West,kickReturnYardsOpponent,22
2025,Air Force,Mountain West,netPassingYards,159
2025,Air Force,Mountain West,netPassingYardsOpponent,169
2025,Air Force,Mountain West,passAttempts,9
2025,Air Force,Mountain West,passAttemptsOpponent,24
2025,Air Force,Mountain West,passCompletions,6
2025,Air Force,Mountain West,passCompletionsOpponent,16
2025,Air Force,Mountain West,passesIntercepted,1
2025,Air Force,Mountain West,passingTDs,2
2025,Air Force,Mountain West,passingTDsOpponent,1
2025,Air Force,Mountain West,penalties,5
2025,Air Force,Mountain West,penaltiesOpponent,6
2025,Air Force,Mountain West,penaltyYards,56
2025,Air Force,Mountain West,penaltyYardsOpponent,50
2025,Air Force,Mountain West,possessionTime,1898
2025,Air Force,Mountain West,possessionTimeOpponent,1702
2025,Air Force,Mountain West,puntReturns,1
2025,Air Force,Mountain West,puntReturnTDs,0
2025,Air Force,Mountain West,puntReturnYards,7
2025,Air Force,Mountain West,rushingAttempts,51
2025,Air Force,Mountain West,rushingAttemptsOpponent,38
2025,Air Force,Mountain West,rushingTDs,4
2025,Air Force,Mountain West,rushingTDsOpponent,0
2025,Air Force,Mountain West,rushingYards,267
2025,Air Force,Mountain West,rushingYardsOpponent,97
2025,Air Force,Mountain West,sacks,6
2025,Air Force,Mountain West,sacksOpponent,1
2025,Air Force,Mountain West,tacklesForLoss,6
2025,Air Force,Mountain West,tacklesForLossOpponent,2
2025,Air Force,Mountain West,thirdDownConversions,6
2025,Air Force,Mountain West,thirdDownConversionsOpponent,3
