season,week,seasonType,gameId,homeTeam,awayTeam,spread,homeWinProbability
2025,1,regular,401760359,Air Force,Bucknell,-31.0,0.984
2025,1,regular,401762789,Akron,Wyoming,5.0,0.365
2025,1,regular,401756849,Arizona,Hawai'i,-15.5,0.857
2025,1,regular,401756850,Arizona State,Northern Arizona,-30.5,0.982
2025,1,regular,401752666,Arkansas,Alabama A&M,-48.5,1.0
2025,1,regular,401762432,Army,Tarleton State,-14.0,0.833
2025,1,regular,401752667,Baylor,Auburn,1.0,0.473
2025,1,regular,401754518,Boston College,Fordham,-35.0,0.992
2025,1,regular,401762790,Bowling Green,Lafayette,-21.0,0.926
2025,1,regular,401756851,BYU,Portland State,-43.5,0.999
2025,1,regular,401761589,Charlotte,App State,3.0,0.418
2025,1,regular,401752796,Cincinnati,Nebraska,6.0,0.34
2025,1,regular,401752671,Clemson,LSU,-5.5,0.648
2025,1,regular,401754375,Colorado,Georgia Tech,3.5,0.405
2025,1,regular,401757219,Delaware,Delaware State,-30.5,0.982
2025,1,regular,401754517,Duke,Elon,-36.5,0.994
2025,1,regular,401752668,Florida,Long Island University,-47.0,0.999
2025,1,regular,401752665,Florida State,Alabama,13.5,0.176
2025,1,regular,401760361,Fresno State,Georgia Southern,-2.0,0.555
2025,1,regular,401752669,Georgia,Marshall,-38.5,0.996
2025,1,regular,401754516,Hawai'i,Stanford,-2.0,0.555
2025,1,regular,401756852,Houston,Stephen F. Austin,-24.5,0.954
2025,1,regular,401752795,Illinois,Western Illinois,-48.5,1.0
2025,1,regular,401752806,Indiana,Old Dominion,-23.0,0.944
2025,1,regular,401756853,Iowa State,South Dakota,-16.5,0.872
2025,1,regular,401761590,James Madison,Weber State,-26.5,0.966
2025,1,regular,401756854,Kansas,Wagner,-46.5,0.999
2025,1,regular,401756847,Kansas,Fresno State,-14.0,0.833
2025,1,regular,401756846,Kansas State,Iowa State,-3.0,0.582
2025,1,regular,401756855,Kansas State,North Dakota,-27.5,0.971
2025,1,regular,401762792,Kent State,Merrimack,-5.5,0.648
2025,1,regular,401752670,Kentucky,Toledo,-10.0,0.755
2025,1,regular,401757220,Liberty,Maine,-25.5,0.961
2025,1,regular,401761592,Louisiana,Rice,-9.5,0.744
2025,1,regular,401757221,Louisiana Tech,SE Louisiana,-14.5,0.841
2025,1,regular,401754519,Louisville,Eastern Kentucky,-38.0,0.996
2025,1,regular,401752797,Maryland,Florida Atlantic,-12.5,0.806
2025,1,regular,401762456,Massachusetts,Temple,1.5,0.459
2025,1,regular,401762433,Memphis,Chattanooga,-30.5,0.982
2025,1,regular,401754522,Miami,Notre Dame,3.0,0.418
2025,1,regular,401752808,Michigan,New Mexico,-34.5,0.991
2025,1,regular,401752802,Michigan State,Western Michigan,-21.5,0.931
2025,1,regular,401757222,Middle Tennessee,Austin Peay,-14.5,0.841
2025,1,regular,401752793,Minnesota,Buffalo,-18.5,0.899
2025,1,regular,401752674,Missouri,Central Arkansas,-38.5,0.996
2025,1,regular,401762434,Navy,VMI,-42.0,0.998
2025,1,regular,401754373,NC State,East Carolina,-14.0,0.833
2025,1,regular,401757223,New Mexico State,Bryant,-19.5,0.911
2025,1,regular,401767476,Nicholls,Incarnate Word,13.5,0.176
2025,1,regular,401754523,North Carolina,TCU,3.5,0.405
2025,1,regular,401762793,Northern Illinois,Holy Cross,-13.5,0.824
2025,1,regular,401762435,North Texas,Lamar,-27.5,0.971
2025,1,regular,401752677,Ohio State,Texas,-2.0,0.555
2025,1,regular,401752675,Oklahoma,Illinois State,-39.5,0.997
2025,1,regular,401756876,Oklahoma State,UT Martin,-26.0,0.964
2025,1,regular,401752672,Ole Miss,Georgia State,-33.5,0.99
2025,1,regular,401752804,Oregon,Montana State,-28.0,0.973
2025,1,regular,401752936,Oregon State,California,3.0,0.418
2025,1,regular,401752807,Penn State,Nevada,-43.5,0.999
2025,1,regular,401754520,Pittsburgh,Duquesne,-39.0,0.996
2025,1,regular,401767126,Portland State,Tarleton State,17.5,0.114
2025,1,regular,401752801,Purdue,Ball State,-16.5,0.872
2025,1,regular,401752794,Rutgers,Ohio,-15.5,0.857
2025,1,regular,401757224,Sam Houston,UNLV,9.0,0.267
2025,1,regular,401760357,San Diego State,Stony Brook,-19.5,0.911
2025,1,regular,401760358,San José State,Central Michigan,-14.5,0.841
2025,1,regular,401754521,SMU,East Texas A&M,-51.0,1.0
2025,1,regular,401761593,South Alabama,Morgan State,-28.5,0.975
2025,1,regular,401752680,South Carolina,Virginia Tech,-7.0,0.685
2025,1,regular,401752673,Southern Miss,Mississippi State,14.5,0.159
2025,1,regular,401767080,Southern Utah,Idaho State,-4.5,0.622
2025,1,regular,401762522,South Florida,Boise State,4.5,0.378
2025,1,regular,401752676,Tennessee,Syracuse,-13.5,0.824
2025,1,regular,401752678,Texas A&M,UTSA,-24.0,0.951
2025,1,regular,401761594,Texas State,Eastern Michigan,-14.0,0.833
2025,1,regular,401756877,Texas Tech,Arkansas-Pine Bluff,-54.5,1.0
2025,1,regular,401761595,Troy,Nicholls,-19.5,0.911
2025,1,regular,401752803,Tulane,Northwestern,-5.0,0.635
2025,1,regular,401762457,Tulsa,Abilene Christian,-5.0,0.635
2025,1,regular,401762430,UAB,Alabama State,-21.0,0.926
2025,1,regular,401756848,UCF,Jacksonville State,-20.5,0.921
2025,1,regular,401752800,UCLA,Utah,6.5,0.327
2025,1,regular,401757167,UConn,Central Connecticut,-28.0,0.973
2025,1,regular,401761588,UL Monroe,St. Francis (PA),-31.0,0.984
2025,1,regular,401760371,UNLV,Idaho State,-30.5,0.982
2025,1,regular,401752798,USC,Missouri State,-36.5,0.994
2025,1,regular,401757225,Utah State,UTEP,-5.5,0.648
2025,1,regular,401752679,Vanderbilt,Charleston Southern,-37.5,0.995
2025,1,regular,401754616,Virginia,Coastal Carolina,-13.5,0.824
