team,wins,losses,total_games,win_rate,points_for,points_against,points_per_game,points_allowed_per_game,margin_per_game,off_ppa,def_ppa,off_success_rate,def_success_rate,ap_rank,coaches_rank,ap_points,coaches_points,avg_rank,avg_points
Florida International,0,0,0,0,0,0,0,0,0,0.19826027456699682,0.09518640477742787,0.46153846153846156,0.3787878787878788,999,999,0,0,999.0,0.0
Slippery Rock,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,999,999,0,0,999.0,0.0
Liberty,0,0,0,0,0,0,0,0,0,0.24505756516713226,0.1875190603168445,0.45714285714285713,0.35772357723577236,999,999,0,0,999.0,0.0
Boise State,0,0,0,0,0,0,0,0,0,0.19801720118914032,0.13009346875290734,0.44805194805194803,0.30327868852459017,25,25,191,246,25.0,218.5
Missouri State,0,0,0,0,0,0,0,0,0,0.1465247289870204,0.4807331939649597,0.36496350364963503,0.4690265486725664,999,999,0,0,999.0,0.0
Arizona State,0,0,0,0,0,0,0,0,0,0.26192454223622497,0.06514184737230065,0.45588235294117646,0.3805970149253731,12,24,850,206,18.0,528.0
UC Davis,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,999,999,0,0,999.0,0.0
Kutztown University,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,999,999,0,0,999.0,0.0
Georgia Tech,0,0,0,0,0,0,0,0,0,0.37861823129984873,0.0857169919764516,0.5470085470085471,0.359375,999,999,0,0,999.0,0.0
Northern Arizona,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,999,999,0,0,999.0,0.0
TCU,0,0,0,0,0,0,0,0,0,0.3939457263787866,-0.017985779546211843,0.5833333333333334,0.32653061224489793,999,999,0,0,999.0,0.0
Kansas,0,0,0,0,0,0,0,0,0,0.2919643783924474,0.13209423698349204,0.5368421052631579,0.3489583333333333,999,999,0,0,999.0,0.0
Western Carolina,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,999,999,0,0,999.0,0.0
Wisconsin,0,0,0,0,0,0,0,0,0,0.25740093431336314,-0.021837603954770024,0.4632352941176471,0.366412213740458,999,999,0,0,999.0,0.0
Marshall,0,0,0,0,0,0,0,0,0,0.060658040553236814,0.32666863144803093,0.2830188679245283,0.44654088050314467,999,999,0,0,999.0,0.0
New Mexico,0,0,0,0,0,0,0,0,0,0.06819424999347563,0.13676563753705273,0.3782051282051282,0.4339622641509434,999,999,0,0,999.0,0.0
Penn State,0,0,0,0,0,0,0,0,0,0.29144158395391145,-0.030740298253986213,0.5037037037037037,0.3442622950819672,2,2,1524,1576,2.0,1550.0
