team,season,week,games_played,wins,losses,win_rate,points_for,points_against,margin,points_per_game,points_allowed_per_game,margin_per_game,home_wins,home_losses,away_wins,away_losses,rolling_win_rate,rolling_ppg,rolling_papg,rolling_margin,trend_win_rate,trend_ppg,trend_papg,trend_margin,momentum_win_rate,momentum_ppg,momentum_papg,momentum_margin
Abilene Christian,2022,2,1,1,0,1.0,28.0,14.0,14.0,28.0,14.0,14.0,1,0,0,0,1.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abilene Christian,2022,4,2,2,0,1.0,49.0,27.0,22.0,24.5,13.5,11.0,2,0,0,0,1.0,26.25,13.75,12.5,0.0,0.0,0.0,0.0,0.0,-3.5,-0.5,-3.0
Abilene Christian,2022,5,1,0,1,0.0,17.0,34.0,-17.0,17.0,34.0,-17.0,0,0,0,1,0.6666666666666666,23.166666666666668,20.5,2.6666666666666665,0.0,0.0,0.0,0.0,-1.0,-9.25,20.25,-29.5
Abilene Christian,2022,6,2,1,1,0.5,43.0,44.0,-1.0,21.5,22.0,-0.5,0,0,1,1,0.5,21.0,23.166666666666668,-2.1666666666666665,0.0,0.0,0.0,0.0,-0.16666666666666663,-1.6666666666666679,1.5,-3.1666666666666665
Abilene Christian,2022,7,3,3,0,1.0,83.0,34.0,49.0,27.666666666666668,11.333333333333334,16.333333333333332,3,0,0,0,0.5,22.055555555555557,22.444444444444443,-0.3888888888888893,0.0,0.0,0.0,0.0,0.375,4.916666666666668,-9.541666666666666,14.458333333333332
Abilene Christian,2022,9,3,1,2,0.3333333333333333,81.0,85.0,-4.0,27.0,28.33333333333333,-1.3333333333333333,0,0,1,2,0.611111111111111,25.38888888888889,20.555555555555554,4.833333333333333,-0.05555555555555558,2.2222222222222214,0.05555555555555358,2.1666666666666665,-0.36666666666666664,3.2666666666666657,9.366666666666664,-6.1
Abilene Christian,2022,10,4,1,3,0.25,112.0,119.0,-7.0,28.0,29.75,-1.75,0,0,1,3,0.5277777777777778,27.555555555555557,23.138888888888886,4.416666666666666,-0.13888888888888884,4.388888888888889,2.6388888888888857,1.7499999999999996,-0.38888888888888895,3.722222222222218,9.222222222222225,-5.5
Abilene Christian,2022,11,5,2,3,0.4,140.0,142.0,-2.0,28.0,28.4,-0.4,0,0,2,3,0.3277777777777778,27.666666666666668,28.827777777777772,-1.161111111111111,-0.33888888888888885,4.5,8.327777777777772,-3.8277777777777775,-0.18333333333333335,3.1904761904761862,6.554761904761904,-3.3642857142857143
Abilene Christian,2022,12,4,4,0,1.0,104.0,52.0,52.0,26.0,13.0,13.0,4,0,0,0,0.5499999999999999,27.333333333333332,23.71666666666667,3.6166666666666667,-0.1166666666666667,4.166666666666664,3.2166666666666686,0.9500000000000002,0.4395833333333333,0.7916666666666643,-9.664583333333333,10.45625
Abilene Christian,2023,3,1,1,0,1.0,31.0,11.0,20.0,31.0,11.0,20.0,1,0,0,0,1.0,31.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abilene Christian,2023,4,1,1,0,1.0,45.0,16.0,29.0,45.0,16.0,29.0,0,0,1,0,1.0,38.0,13.5,24.5,0.0,0.0,0.0,0.0,0.0,14.0,5.0,9.0
Abilene Christian,2023,5,2,1,1,0.5,62.0,68.0,-6.0,31.0,34.0,-3.0,0,0,1,1,0.8333333333333334,35.666666666666664,20.333333333333332,15.333333333333334,0.0,0.0,0.0,0.0,-0.5,-7.0,20.5,-27.5
Abilene Christian,2023,7,2,1,1,0.5,51.0,38.0,13.0,25.5,19.0,6.5,1,1,0,0,0.6666666666666666,33.833333333333336,23.0,10.833333333333334,0.0,0.0,0.0,0.0,-0.33333333333333337,-10.166666666666664,-1.3333333333333321,-8.833333333333334
Abilene Christian,2023,8,3,1,2,0.3333333333333333,93.0,113.0,-20.0,31.0,37.66666666666666,-6.666666666666667,0,0,1,2,0.4444444444444444,29.166666666666668,30.222222222222218,-1.0555555555555556,0.0,0.0,0.0,0.0,-0.4166666666666667,-2.125,17.666666666666657,-19.791666666666668
Abilene Christian,2023,9,4,2,2,0.5,127.0,140.0,-13.0,31.75,35.0,-3.25,0,0,2,2,0.4444444444444444,29.416666666666668,30.555555555555554,-1.138888888888889,-0.38888888888888895,-6.2499999999999964,10.222222222222221,-16.47222222222222,-0.16666666666666674,-0.9500000000000028,11.466666666666669,-12.416666666666668
Abilene Christian,2023,10,3,2,1,0.6666666666666666,81.0,51.0,30.0,27.0,17.0,10.0,2,1,0,0,0.5,29.916666666666668,29.888888888888886,0.027777777777777384,-0.33333333333333337,-5.7499999999999964,9.555555555555554,-15.305555555555557,0.02777777777777768,-5.541666666666664,-8.444444444444443,2.9027777777777777
Abilene Christian,2023,11,4,3,1,0.75,105.0,58.0,47.0,26.25,14.5,11.75,3,1,0,0,0.6388888888888888,28.333333333333332,22.166666666666668,6.166666666666667,-0.19444444444444453,-7.333333333333332,1.8333333333333357,-9.166666666666668,0.1071428571428571,-5.5,-9.738095238095237,4.238095238095238
Abilene Christian,2023,12,5,2,3,0.4,141.0,192.0,-51.0,28.2,38.4,-10.2,0,0,2,3,0.6055555555555555,27.150000000000002,23.3,3.85,-0.22777777777777786,-8.516666666666662,2.9666666666666686,-11.483333333333334,-0.25625,-2.8625000000000007,15.379166666666666,-18.241666666666667
Abilene Christian,2024,3,1,0,1,0.0,51.0,52.0,-1.0,51.0,52.0,-1.0,0,0,0,1,0.0,51.0,52.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abilene Christian,2024,4,1,1,0,1.0,38.0,24.0,14.0,38.0,24.0,14.0,1,0,0,0,0.5,44.5,38.0,6.5,0.0,0.0,0.0,0.0,1.0,-13.0,-28.0,15.0
Abilene Christian,2024,5,2,1,1,0.5,75.0,74.0,1.0,37.5,37.0,0.5,0,0,1,1,0.5,42.166666666666664,37.666666666666664,4.5,0.0,0.0,0.0,0.0,0.0,-7.0,-1.0,-6.0
Abilene Christian,2024,6,2,1,1,0.5,62.0,51.0,11.0,31.0,25.5,5.5,1,1,0,0,0.6666666666666666,35.5,28.833333333333332,6.666666666666667,0.0,0.0,0.0,0.0,0.0,-11.166666666666664,-12.166666666666664,1.0
Abilene Christian,2024,7,3,2,1,0.6666666666666666,130.0,104.0,26.0,43.333333333333336,34.666666666666664,8.666666666666666,0,0,2,1,0.5555555555555555,37.27777777777778,32.388888888888886,4.888888888888888,0.0,0.0,0.0,0.0,0.16666666666666663,3.9583333333333357,0.0416666666666643,3.916666666666666
Abilene Christian,2024,8,3,2,1,0.6666666666666666,103.0,85.0,18.0,34.333333333333336,28.33333333333333,6.0,2,1,0,0,0.611111111111111,36.22222222222223,29.5,6.722222222222221,0.11111111111111105,-5.944444444444436,-8.166666666666664,2.2222222222222214,0.1333333333333333,-5.833333333333336,-6.300000000000004,0.4666666666666668
Abilene Christian,2024,10,4,3,1,0.75,137.0,105.0,32.0,34.25,26.25,8.0,3,1,0,0,0.6944444444444443,37.30555555555556,29.75,7.5555555555555545,0.1944444444444443,-4.861111111111107,-7.916666666666664,3.0555555555555545,0.19444444444444453,-4.94444444444445,-7.333333333333336,2.3888888888888893
Abilene Christian,2024,11,4,2,2,0.5,164.0,151.0,13.0,41.0,37.75,3.25,0,0,2,2,0.6388888888888888,36.52777777777778,30.777777777777775,5.75,0.13888888888888884,-5.638888888888886,-6.888888888888889,1.25,-0.08333333333333326,2.511904761904759,5.214285714285715,-2.7023809523809517
Abilene Christian,2024,12,5,3,2,0.6,199.0,185.0,14.0,39.8,37.0,2.8,0,0,3,2,0.6166666666666667,38.35,33.666666666666664,4.683333333333334,0.1166666666666667,-3.816666666666663,-4.0,0.18333333333333357,0.027083333333333348,0.9979166666666615,3.8125,-2.814583333333333
Abilene Christian,2024,13,6,4,2,0.6666666666666666,234.0,216.0,18.0,39.0,36.0,3.0,0,0,4,2,0.5888888888888889,39.93333333333333,36.916666666666664,3.016666666666667,0.0888888888888889,-2.2333333333333343,-0.75,-1.483333333333333,0.09074074074074079,0.08703703703703525,2.3888888888888857,-2.3018518518518514
Abilene Christian,2024,14,5,4,1,0.8,165.0,130.0,35.0,33.0,26.0,7.0,4,1,0,0,0.6888888888888888,37.266666666666666,33.0,4.266666666666667,0.18888888888888877,-4.899999999999999,-4.666666666666664,-0.2333333333333334,0.21500000000000008,-5.921666666666667,-7.850000000000001,1.9283333333333337
