season,playerId,player,position,team,conference,category,statType,stat
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,ATT,311
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,COMPLETIONS,220
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,INT,7
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,PCT,0.707
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,TD,14
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,YDS,2458
2024,102597,Will Rogers,QB,Washington,Big Ten,passing,YPA,7.9
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,ATT,1
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,COMPLETIONS,0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,INT,1
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,PCT,0.000
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,TD,0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,YDS,0
2024,233186,Josh Jenkins,QB,Holy Cross,Patriot,passing,YPA,0.0
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,ATT,43
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,COMPLETIONS,19
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,INT,1
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,PCT,0.442
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,TD,1
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,YDS,194
2024,552920,Zach Sims,OL,Alabama State,SWAC,passing,YPA,4.5
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,ATT,327
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,COMPLETIONS,214
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,INT,11
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,PCT,0.654
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,TD,17
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,YDS,2315
2024,4360480,Spencer Petras,QB,Utah State,Mountain West,passing,YPA,7.1
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,ATT,389
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,COMPLETIONS,244
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,INT,6
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,PCT,0.627
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,TD,23
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,YDS,3195
2024,4360689,Tyler Shough,QB,Louisville,ACC,passing,YPA,8.2
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,ATT,389
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,COMPLETIONS,272
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,INT,13
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,PCT,0.699
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,TD,30
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,YDS,3222
2024,4360890,Jordan McCloud,QB,Texas State,Sun Belt,passing,YPA,8.3
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,ATT,50
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,COMPLETIONS,30
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,INT,2
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,PCT,0.600
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,TD,1
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,YDS,306
2024,4361025,Jack Tuttle,QB,Michigan,Big Ten,passing,YPA,6.1
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,ATT,66
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,COMPLETIONS,34
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,INT,3
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,PCT,0.515
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,TD,7
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,YDS,555
2024,4362075,Cameron Rising,QB,Utah,Big 12,passing,YPA,8.4
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,ATT,340
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,COMPLETIONS,204
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,INT,12
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,PCT,0.600
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,TD,17
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,YDS,2442
2024,4362159,Alan Bowman,QB,Oklahoma State,Big 12,passing,YPA,7.2
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,ATT,4
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,COMPLETIONS,3
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,INT,1
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,PCT,0.750
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,TD,0
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,YDS,27
2024,4362915,Gerry Bohannon,QB,BYU,Big 12,passing,YPA,6.8
2024,4367042,John Erby,WR,Duquesne,NEC,passing,ATT,1
2024,4367042,John Erby,WR,Duquesne,NEC,passing,COMPLETIONS,0
2024,4367042,John Erby,WR,Duquesne,NEC,passing,INT,0
2024,4367042,John Erby,WR,Duquesne,NEC,passing,PCT,0.000
2024,4367042,John Erby,WR,Duquesne,NEC,passing,TD,0
2024,4367042,John Erby,WR,Duquesne,NEC,passing,YDS,0
2024,4367042,John Erby,WR,Duquesne,NEC,passing,YPA,0.0
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,ATT,1
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,COMPLETIONS,0
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,INT,0
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,PCT,0.000
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,TD,0
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,YDS,0
2024,4367069,Ty Son Lawton,RB,Indiana,Big Ten,passing,YPA,0.0
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,ATT,1
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,COMPLETIONS,1
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,INT,0
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,PCT,1.000
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,TD,0
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,YDS,6
2024,4369910,Chance Newman,QB,Northwestern State,Southland,passing,YPA,6.0
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,ATT,3
2024,4370170,Landon Parker,WR,Troy,Sun Belt,passing,COMPLETIONS,1
