season,id,name,position,team,conference,usage
2024,102597,Will Rogers,QB,Washington,B1G,"{'overall': 0.464, 'pass': 0.823, 'rush': 0.046, 'firstDown': 0.411, 'secondDown': 0.471, 'thirdDown': 0.6, 'standardDowns': 0.404, 'passingDowns': 0.634}"
2024,107494,Trey Sanders,RB,TCU,B12,"{'overall': 0.037, 'pass': 0, 'rush': 0.08, 'firstDown': 0.043, 'secondDown': 0.036, 'thirdDown': 0.016, 'standardDowns': 0.041, 'passingDowns': 0.029}"
2024,146583,John Adams,WR,Temple,AAC,"{'overall': 0.03, 'pass': 0.048, 'rush': 0.011, 'firstDown': 0.019, 'secondDown': 0.044, 'thirdDown': 0.035, 'standardDowns': 0.03, 'passingDowns': 0.031}"
2024,548696,Malik Jackson,TE,Towson,,"{'overall': 0.014, 'pass': 0.026, 'rush': 0, 'firstDown': 0.016, 'secondDown': 0.021, 'thirdDown': 0, 'standardDowns': 0.01, 'passingDowns': 0.024}"
2024,550577,Jordan Brown,WR,Fresno State,MWC,"{'overall': 0.028, 'pass': 0.055, 'rush': 0, 'firstDown': 0.028, 'secondDown': 0.039, 'thirdDown': 0.016, 'standardDowns': 0.027, 'passingDowns': 0.032}"
2024,553074,Aaron Young,RB,Old Dominion,SBC,"{'overall': 0.227, 'pass': 0.019, 'rush': 0.414, 'firstDown': 0.285, 'secondDown': 0.233, 'thirdDown': 0.109, 'standardDowns': 0.278, 'passingDowns': 0.122}"
2024,560147,Kevin Johnson,WR,Hampton,,"{'overall': 0.045, 'pass': 0.114, 'rush': 0, 'firstDown': 0.048, 'secondDown': 0.03, 'thirdDown': 0.074, 'standardDowns': 0.048, 'passingDowns': 0.037}"
2024,3116099,Monte Harrison,WR,Arkansas,SEC,"{'overall': 0.029, 'pass': 0.054, 'rush': 0, 'firstDown': 0.05, 'secondDown': 0, 'thirdDown': 0, 'standardDowns': 0.034, 'passingDowns': 0}"
2024,3949586,Jake Taylor,TE,Duke,ACC,"{'overall': 0.035, 'pass': 0.06, 'rush': 0, 'firstDown': 0.037, 'secondDown': 0.02, 'thirdDown': 0.041, 'standardDowns': 0.029, 'passingDowns': 0.046}"
2024,4038961,Cam McCormick,TE,Miami,ACC,"{'overall': 0.017, 'pass': 0.03, 'rush': 0, 'firstDown': 0, 'secondDown': 0.053, 'thirdDown': 0, 'standardDowns': 0.012, 'passingDowns': 0.032}"
2024,4242373,Bentley Hanshaw,TE,Liberty,CUSA,"{'overall': 0.019, 'pass': 0.049, 'rush': 0, 'firstDown': 0.024, 'secondDown': 0.006, 'thirdDown': 0.03, 'standardDowns': 0.02, 'passingDowns': 0.015}"
2024,4251136,Spencer Curtis,WR,Hawai'i,MWC,"{'overall': 0.031, 'pass': 0.048, 'rush': 0, 'firstDown': 0.033, 'secondDown': 0.023, 'thirdDown': 0.041, 'standardDowns': 0.028, 'passingDowns': 0.036}"
2024,4360435,Jacolby Hewitt,WR,Alabama A&M,,"{'overall': 0.036, 'pass': 0.077, 'rush': 0.004, 'firstDown': 0.034, 'secondDown': 0.05, 'thirdDown': 0.022, 'standardDowns': 0.03, 'passingDowns': 0.05}"
2024,4360480,Spencer Petras,QB,Utah State,MWC,"{'overall': 0.498, 'pass': 0.86, 'rush': 0.077, 'firstDown': 0.399, 'secondDown': 0.586, 'thirdDown': 0.595, 'standardDowns': 0.432, 'passingDowns': 0.671}"
2024,4360689,Tyler Shough,QB,Louisville,ACC,"{'overall': 0.541, 'pass': 0.968, 'rush': 0.075, 'firstDown': 0.456, 'secondDown': 0.544, 'thirdDown': 0.743, 'standardDowns': 0.45, 'passingDowns': 0.76}"
2024,4360890,Jordan McCloud,QB,Texas State,SBC,"{'overall': 0.468, 'pass': 0.883, 'rush': 0.117, 'firstDown': 0.469, 'secondDown': 0.392, 'thirdDown': 0.615, 'standardDowns': 0.423, 'passingDowns': 0.576}"
2024,4360930,Jyaire Shorter,WR,Memphis,AAC,"{'overall': 0.022, 'pass': 0.037, 'rush': 0, 'firstDown': 0.015, 'secondDown': 0.02, 'thirdDown': 0.044, 'standardDowns': 0.019, 'passingDowns': 0.03}"
2024,4361014,Brant Kuithe,TE,Utah,B12,"{'overall': 0.083, 'pass': 0.14, 'rush': 0.027, 'firstDown': 0.09, 'secondDown': 0.075, 'thirdDown': 0.085, 'standardDowns': 0.09, 'passingDowns': 0.07}"
2024,4361025,Jack Tuttle,QB,Michigan,B1G,"{'overall': 0.485, 'pass': 0.885, 'rush': 0.143, 'firstDown': 0.528, 'secondDown': 0.417, 'thirdDown': 0.538, 'standardDowns': 0.419, 'passingDowns': 0.641}"
2024,4361059,Da'kendall James,WR,Towson,,"{'overall': 0.032, 'pass': 0.054, 'rush': 0.008, 'firstDown': 0.009, 'secondDown': 0.072, 'thirdDown': 0.019, 'standardDowns': 0.028, 'passingDowns': 0.042}"
2024,4362075,Cameron Rising,QB,Utah,B12,"{'overall': 0.381, 'pass': 0.767, 'rush': 0.048, 'firstDown': 0.43, 'secondDown': 0.258, 'thirdDown': 0.476, 'standardDowns': 0.375, 'passingDowns': 0.392}"
2024,4362159,Alan Bowman,QB,Oklahoma State,B12,"{'overall': 0.475, 'pass': 0.798, 'rush': 0.051, 'firstDown': 0.423, 'secondDown': 0.485, 'thirdDown': 0.56, 'standardDowns': 0.396, 'passingDowns': 0.636}"
2024,4362188,Sterling Galban,WR,Massachusetts,Ind,"{'overall': 0.035, 'pass': 0.075, 'rush': 0.002, 'firstDown': 0.033, 'secondDown': 0.046, 'thirdDown': 0.025, 'standardDowns': 0.025, 'passingDowns': 0.054}"
2024,4362248,Anthony Torres,TE,Toledo,MAC,"{'overall': 0.044, 'pass': 0.083, 'rush': 0, 'firstDown': 0.029, 'secondDown': 0.04, 'thirdDown': 0.061, 'standardDowns': 0.037, 'passingDowns': 0.059}"
2024,4362263,Jalynn Williams,RB,Western Carolina,,"{'overall': 0.06, 'pass': 0.009, 'rush': 0.128, 'firstDown': 0.051, 'secondDown': 0.073, 'thirdDown': 0.06, 'standardDowns': 0.06, 'passingDowns': 0.06}"
2024,4362313,O'Shann Allison,RB,Austin Peay,,"{'overall': 0.083, 'pass': 0.037, 'rush': 0.13, 'firstDown': 0.109, 'secondDown': 0.064, 'thirdDown': 0.069, 'standardDowns': 0.1, 'passingDowns': 0.05}"
2024,4362332,Alec Burton,TE,Utah Tech,,"{'overall': 0.016, 'pass': 0.027, 'rush': 0, 'firstDown': 0.013, 'secondDown': 0.016, 'thirdDown': 0, 'standardDowns': 0.027, 'passingDowns': 0}"
2024,4362909,Cameron Gardner,WR,Mississippi Valley State,,"{'overall': 0.041, 'pass': 0.078, 'rush': 0.005, 'firstDown': 0.023, 'secondDown': 0.045, 'thirdDown': 0.074, 'standardDowns': 0.036, 'passingDowns': 0.049}"
2024,4362915,Gerry Bohannon,QB,BYU,B12,"{'overall': 0.053, 'pass': 0.043, 'rush': 0.061, 'firstDown': 0.052, 'secondDown': 0.062, 'thirdDown': 0.025, 'standardDowns': 0.07, 'passingDowns': 0.015}"
2024,4363059,Jay Gibson,TE,Chattanooga,,"{'overall': 0.028, 'pass': 0.064, 'rush': 0, 'firstDown': 0.015, 'secondDown': 0.026, 'thirdDown': 0.058, 'standardDowns': 0.029, 'passingDowns': 0.026}"
2024,4364635,Cole Grossman,TE,Montana,,"{'overall': 0.05, 'pass': 0.115, 'rush': 0, 'firstDown': 0.055, 'secondDown': 0.025, 'thirdDown': 0.045, 'standardDowns': 0.048, 'passingDowns': 0.053}"
2024,4365454,Takairee Kenebrew,WR,North Alabama,,"{'overall': 0.069, 'pass': 0.137, 'rush': 0.004, 'firstDown': 0.079, 'secondDown': 0.06, 'thirdDown': 0.069, 'standardDowns': 0.068, 'passingDowns': 0.07}"
2024,4365710,Jaren Mitchell,WR,Incarnate Word,,"{'overall': 0.021, 'pass': 0.032, 'rush': 0, 'firstDown': 0.019, 'secondDown': 0.041, 'thirdDown': 0, 'standardDowns': 0.028, 'passingDowns': 0}"
2024,4366640,Solomon Vanhorse,RB,Indiana,B1G,"{'overall': 0.015, 'pass': 0.048, 'rush': 0, 'firstDown': 0.027, 'secondDown': 0, 'thirdDown': 0, 'standardDowns': 0.017, 'passingDowns': 0}"
2024,4367042,John Erby,WR,Duquesne,,"{'overall': 0.09, 'pass': 0.18, 'rush': 0.009, 'firstDown': 0.091, 'secondDown': 0.059, 'thirdDown': 0.13, 'standardDowns': 0.091, 'passingDowns': 0.09}"
2024,4367069,Ty Son Lawton,RB,Indiana,B1G,"{'overall': 0.182, 'pass': 0.04, 'rush': 0.298, 'firstDown': 0.23, 'secondDown': 0.19, 'thirdDown': 0.062, 'standardDowns': 0.207, 'passingDowns': 0.115}"
2024,4368612,Jay Parker,WR,Tennessee Tech,,"{'overall': 0.033, 'pass': 0.051, 'rush': 0.013, 'firstDown': 0.034, 'secondDown': 0.031, 'thirdDown': 0.028, 'standardDowns': 0.035, 'passingDowns': 0.029}"
2024,4368909,Jeremiah Edwards,WR,UT Martin,,"{'overall': 0.015, 'pass': 0.04, 'rush': 0, 'firstDown': 0, 'secondDown': 0.024, 'thirdDown': 0.04, 'standardDowns': 0, 'passingDowns': 0.061}"
2024,4369910,Chance Newman,QB,Northwestern State,,"{'overall': 0.046, 'pass': 0.031, 'rush': 0.063, 'firstDown': 0.019, 'secondDown': 0.086, 'thirdDown': 0.031, 'standardDowns': 0.036, 'passingDowns': 0.059}"
2024,4370170,Landon Parker,WR,Troy,SBC,"{'overall': 0.047, 'pass': 0.093, 'rush': 0, 'firstDown': 0.039, 'secondDown': 0.053, 'thirdDown': 0.059, 'standardDowns': 0.037, 'passingDowns': 0.069}"
2024,4370981,Keilon Elder,RB,Grambling,,"{'overall': 0.169, 'pass': 0.033, 'rush': 0.288, 'firstDown': 0.245, 'secondDown': 0.167, 'thirdDown': 0.053, 'standardDowns': 0.253, 'passingDowns': 0.038}"
