team,off_ppa_overall,off_ppa_passing,off_ppa_rushing,off_ppa_first_down,off_ppa_second_down,off_ppa_third_down,def_ppa_overall,def_ppa_passing,def_ppa_rushing,def_ppa_first_down,def_ppa_second_down,def_ppa_third_down
Air Force,0.13,0.08,0.15,-0.06,0.02,0.43,0.19,0.32,0.1,0.0,0.18,0.55
Akron,0.06,0.1,0.05,-0.02,0.01,0.43,0.21,0.37,0.11,0.01,0.33,0.54
Alabama,0.24,0.29,0.21,0.17,0.07,0.7,0.03,0.1,-0.03,-0.12,0.01,0.26
App State,0.19,0.28,0.12,-0.07,0.23,0.65,0.28,0.35,0.25,0.13,0.33,0.67
Arizona,0.11,0.18,0.01,-0.03,0.01,0.63,0.23,0.32,0.15,0.09,0.26,0.51
Arizona State,0.29,0.39,0.23,0.16,0.21,0.66,0.11,0.22,0.02,0.01,-0.01,0.5
Arkansas,0.28,0.34,0.23,0.13,0.32,0.57,0.13,0.29,-0.03,-0.02,0.15,0.41
Arkansas State,0.16,0.21,0.11,-0.06,0.16,0.53,0.31,0.35,0.28,0.09,0.36,0.69
Army,0.3,0.36,0.3,0.17,0.24,0.52,0.12,0.13,0.17,-0.05,0.11,0.53
Auburn,0.24,0.32,0.15,0.02,0.33,0.51,0.08,0.23,-0.03,-0.13,0.09,0.49
Ball State,0.12,0.16,0.07,-0.05,0.02,0.53,0.35,0.47,0.26,0.1,0.51,0.71
Baylor,0.22,0.34,0.15,0.09,0.24,0.53,0.17,0.25,0.1,-0.04,0.15,0.52
Boise State,0.33,0.4,0.28,0.13,0.35,0.7,0.16,0.2,0.11,-0.12,0.14,0.55
Boston College,0.16,0.34,0.03,0.01,0.11,0.56,0.14,0.22,0.04,0.06,0.03,0.47
Bowling Green,0.22,0.28,0.15,0.06,0.27,0.36,0.12,0.09,0.17,-0.04,0.13,0.36
Buffalo,0.14,0.24,0.09,-0.07,0.22,0.39,0.14,0.24,0.07,0.04,0.07,0.46
BYU,0.2,0.25,0.18,0.03,0.22,0.49,0.12,0.12,0.12,-0.03,0.02,0.55
California,0.17,0.25,0.08,0.02,0.15,0.52,0.14,0.22,0.07,-0.14,0.06,0.56
Central Michigan,0.14,0.06,0.21,0.08,-0.02,0.43,0.19,0.24,0.15,-0.04,0.28,0.43
Charlotte,0.07,0.08,0.08,-0.03,0.06,0.35,0.22,0.27,0.19,0.07,0.22,0.61
Cincinnati,0.19,0.23,0.15,0.0,0.27,0.6,0.17,0.23,0.14,0.14,-0.03,0.53
Clemson,0.25,0.27,0.25,0.07,0.24,0.71,0.13,0.12,0.19,-0.02,0.17,0.45
Coastal Carolina,0.17,0.24,0.13,0.05,0.21,0.41,0.21,0.27,0.17,0.02,0.14,0.67
Colorado,0.23,0.33,0.07,0.01,0.31,0.62,0.08,0.09,0.06,-0.06,0.04,0.34
Colorado State,0.15,0.3,0.03,-0.06,0.08,0.55,0.17,0.23,0.1,0.09,0.05,0.4
Duke,0.09,0.25,-0.11,0.01,0.14,0.23,0.09,0.11,0.08,-0.08,0.14,0.29
East Carolina,0.2,0.26,0.15,0.03,0.15,0.66,0.15,0.3,0.03,-0.03,0.13,0.54
Eastern Michigan,0.07,0.14,0.0,-0.13,0.03,0.53,0.18,0.33,0.08,0.11,0.15,0.47
Florida,0.2,0.24,0.17,0.13,0.22,0.34,0.13,0.14,0.12,-0.1,0.23,0.44
Florida Atlantic,0.17,0.18,0.22,0.04,0.16,0.52,0.21,0.29,0.15,0.05,0.16,0.43
Florida International,0.14,0.3,0.0,0.04,0.11,0.29,0.12,0.06,0.17,-0.01,0.13,0.29
Florida State,0.04,0.01,0.08,-0.16,0.04,0.24,0.24,0.34,0.18,0.05,0.16,0.71
Fresno State,0.11,0.2,0.05,-0.07,0.23,0.43,0.09,0.09,0.09,-0.07,0.11,0.36
Georgia,0.23,0.33,0.12,0.11,0.24,0.4,0.11,0.14,0.07,-0.01,0.05,0.36
Georgia Southern,0.18,0.22,0.14,-0.04,0.14,0.65,0.24,0.28,0.19,0.09,0.25,0.63
Georgia State,0.14,0.22,0.06,-0.01,0.27,0.41,0.27,0.35,0.21,0.08,0.29,0.61
Georgia Tech,0.24,0.36,0.14,0.07,0.29,0.51,0.15,0.26,0.04,0.08,0.08,0.38
Hawai'i,0.17,0.21,0.13,0.03,0.17,0.34,0.19,0.24,0.15,0.06,0.13,0.44
Houston,0.0,0.01,0.01,0.03,-0.1,0.15,0.12,0.21,0.04,-0.01,0.14,0.31
Illinois,0.24,0.34,0.15,0.04,0.21,0.76,0.17,0.17,0.18,0.02,0.16,0.46
