team,outgoing_transfers,incoming_transfers,net_transfers,avg_outgoing_stars,avg_incoming_stars,high_star_outgoing,high_star_incoming
Georgia,26,11,-15,3.32,3.4545454545454546,10,6
Washington State,27,12,-15,3.0,3.0,2,0
BYU,17,9,-8,2.9411764705882355,3.111111111111111,1,1
Tennessee,16,9,-7,3.0714285714285716,3.4444444444444446,1,4
Colorado State,19,11,-8,3.0,3.0,1,0
Mississippi State,27,18,-9,3.1153846153846154,3.0588235294117645,4,1
Bryant,2,7,5,3.0,2.5714285714285716,0,0
Arizona,31,24,-7,3.225806451612903,3.0,8,1
Temple,31,15,-16,2.8333333333333335,3.0,0,0
Wake Forest,15,5,-10,3.0,3.0,1,0
Air Force,11,0,-11,2.625,0.0,0,0
Virginia,17,13,-4,3.0714285714285716,3.0,2,0
Middle Tennessee,30,12,-18,2.923076923076923,3.0,1,0
NC State,23,15,-8,3.0434782608695654,3.2666666666666666,1,4
Washington,36,27,-9,3.1470588235294117,3.269230769230769,8,7
Michigan State,46,24,-22,3.0697674418604652,3.1818181818181817,4,4
Texas A&M,32,26,-6,3.3448275862068964,3.28,8,8
Pittsburgh,22,14,-8,3.1666666666666665,2.9285714285714284,3,0
Virginia Tech,18,7,-11,3.125,3.0,2,0
Indiana,42,30,-12,3.054054054054054,3.0357142857142856,3,2
Shippensburg University,2,0,-2,3.0,0.0,0,0
Grambling,12,10,-2,2.9,3.0,0,0
Chowan,1,0,-1,3.0,0.0,0,0
Kent State,17,16,-1,2.8666666666666667,3.0,0,0
Duke,21,18,-3,3.1,3.125,3,2
Arizona State,28,28,0,3.125,3.074074074074074,4,2
Utah State,26,20,-6,2.8636363636363638,2.9444444444444446,0,0
Hawai'i,11,6,-5,2.75,2.8333333333333335,0,0
San Diego State,36,24,-12,3.0,3.0,3,0
Charleston Southern,2,0,-2,3.0,0.0,0,0
Western Kentucky,30,21,-9,3.0,3.0,3,1
Houston,34,27,-7,3.1875,3.037037037037037,6,1
Texas Tech,24,16,-8,3.0454545454545454,3.125,1,2
Georgia Tech,33,12,-21,3.064516129032258,3.0,2,0
Kansas,13,11,-2,3.0,3.1,0,1
Sam Houston,5,12,7,3.0,3.0,0,0
