team,total_players,qb_count,rb_count,wr_count,avg_overall_usage,avg_pass_usage,avg_rush_usage,avg_third_down_usage
Washington,17,2,6,6,0.09229411764705883,0.11147058823529411,0.07035294117647059,0.0981764705882353
TCU,24,3,7,11,0.07975,0.09125,0.06570833333333334,0.08429166666666665
Temple,22,3,5,9,0.11118181818181817,0.13481818181818184,0.0810909090909091,0.12277272727272726
Towson,13,4,3,5,0.10546153846153847,0.15246153846153848,0.06092307692307692,0.12123076923076923
Fresno State,21,3,4,10,0.093,0.11404761904761902,0.06490476190476191,0.10004761904761905
Old Dominion,15,3,5,6,0.17053333333333331,0.209,0.13266666666666665,0.18920000000000003
Hampton,14,1,5,6,0.08221428571428571,0.08435714285714284,0.08135714285714286,0.07371428571428572
Arkansas,24,3,5,11,0.08266666666666668,0.1105,0.058499999999999996,0.09391666666666665
Duke,18,3,5,7,0.10400000000000001,0.12788888888888889,0.07472222222222222,0.11244444444444447
Miami,21,3,6,8,0.09471428571428571,0.126,0.06052380952380952,0.10795238095238097
Liberty,18,3,6,6,0.09427777777777777,0.12794444444444444,0.07138888888888889,0.10433333333333333
Hawai'i,21,3,6,11,0.08552380952380952,0.10095238095238096,0.06190476190476189,0.08204761904761905
Alabama A&M,10,2,2,4,0.0927,0.11729999999999999,0.0738,0.0974
Utah State,17,3,5,5,0.12200000000000001,0.14323529411764707,0.0961764705882353,0.11264705882352942
Louisville,24,5,5,8,0.08208333333333334,0.10670833333333334,0.056666666666666664,0.09604166666666665
Texas State,17,4,5,6,0.10841176470588235,0.13041176470588237,0.09052941176470587,0.11964705882352943
Memphis,19,3,5,8,0.08742105263157894,0.10205263157894735,0.07142105263157895,0.08978947368421053
Utah,25,4,6,8,0.09519999999999999,0.13412,0.058440000000000006,0.10732
Michigan,20,3,5,8,0.10944999999999998,0.15525000000000003,0.07335,0.12015
Oklahoma State,20,3,4,10,0.10129999999999999,0.13029999999999997,0.0635,0.10500000000000001
Massachusetts,20,4,6,6,0.1044,0.14289999999999997,0.07640000000000001,0.10369999999999999
Toledo,16,2,5,7,0.1065625,0.13137500000000002,0.079125,0.1124375
Western Carolina,11,2,3,4,0.11109090909090909,0.13172727272727272,0.08354545454545455,0.12272727272727271
Austin Peay,12,3,2,6,0.12016666666666666,0.16391666666666668,0.07591666666666667,0.13225
Utah Tech,13,3,3,3,0.10453846153846154,0.12430769230769231,0.0743846153846154,0.09776923076923077
Mississippi Valley State,4,0,2,2,0.065,0.0415,0.08925,0.05124999999999999
BYU,17,2,5,7,0.09747058823529411,0.1154705882352941,0.08023529411764706,0.08947058823529411
Chattanooga,8,2,2,3,0.12487500000000001,0.238125,0.037,0.152625
Montana,16,2,4,7,0.0773125,0.10125,0.055249999999999994,0.078625
North Alabama,12,3,3,5,0.12316666666666669,0.16383333333333336,0.08308333333333333,0.15125
Incarnate Word,11,1,2,6,0.11790909090909092,0.14263636363636364,0.09527272727272727,0.11590909090909092
Indiana,23,3,7,10,0.0763913043478261,0.09852173913043479,0.0576086956521739,0.09004347826086957
Duquesne,10,2,2,4,0.12910000000000002,0.1776,0.09,0.1439
Tennessee Tech,11,3,2,5,0.09399999999999999,0.09845454545454548,0.08172727272727273,0.09145454545454546
UT Martin,15,4,2,7,0.10519999999999999,0.15553333333333336,0.06453333333333335,0.11233333333333331
Northwestern State,9,2,2,3,0.07866666666666668,0.09166666666666666,0.06622222222222222,0.06833333333333333
Troy,19,3,5,7,0.10494736842105262,0.14626315789473684,0.07373684210526317,0.10505263157894738
Grambling,13,3,3,5,0.10323076923076924,0.12123076923076923,0.0873076923076923,0.11815384615384618
Virginia St,3,2,0,1,0.15733333333333335,0.28600000000000003,0.08066666666666666,0.282
Louisiana,25,4,6,11,0.08384,0.10896,0.05896,0.08824
McNeese,10,1,3,4,0.10600000000000001,0.12280000000000002,0.0934,0.1059
Elon,12,3,2,6,0.11333333333333333,0.15441666666666667,0.07508333333333332,0.13000000000000003
Clemson,23,3,8,8,0.08013043478260869,0.09804347826086954,0.058347826086956524,0.08430434782608696
East Tennessee State,18,3,4,10,0.08983333333333333,0.10883333333333332,0.074,0.08411111111111111
Central Arkansas,11,2,2,5,0.12354545454545453,0.15963636363636363,0.08900000000000001,0.1260909090909091
Northern State,3,2,0,1,0.151,0.38466666666666666,0.07666666666666666,0.26666666666666666
LSU,18,4,4,7,0.10427777777777776,0.11833333333333335,0.08227777777777778,0.10522222222222222
Florida,22,3,6,10,0.10586363636363637,0.14631818181818182,0.07172727272727274,0.12063636363636365
Tennessee,24,4,7,10,0.078625,0.10037499999999999,0.0615,0.0805
USC,19,3,4,9,0.10547368421052632,0.12963157894736843,0.07042105263157895,0.11252631578947368
Wisconsin,22,3,6,8,0.0963181818181818,0.12418181818181818,0.07127272727272728,0.09909090909090908
UAB,24,5,6,8,0.09658333333333335,0.12079166666666667,0.06595833333333334,0.10795833333333334
Notre Dame,24,3,6,9,0.07175000000000001,0.092625,0.05391666666666667,0.07708333333333334
Georgia Tech,25,4,6,11,0.08556,0.1084,0.065,0.08968
Nevada,19,3,7,6,0.10647368421052632,0.13310526315789473,0.08199999999999999,0.0944736842105263
Bowling Green,17,3,6,5,0.0911764705882353,0.10988235294117646,0.06794117647058824,0.0948235294117647
Southern Miss,17,3,5,6,0.10541176470588234,0.13123529411764706,0.07758823529411764,0.10876470588235296
Minnesota,21,2,6,8,0.07866666666666665,0.09366666666666666,0.06266666666666666,0.08585714285714285
Wake Forest,16,2,3,8,0.09825,0.12350000000000001,0.0720625,0.0989375
McKendree,1,0,0,1,0.048,0.083,0.0,0.118
Sam Houston,17,2,4,9,0.0961764705882353,0.12694117647058825,0.07305882352941176,0.102
Michigan State,20,3,4,8,0.07329999999999999,0.1045,0.03985,0.07465000000000001
Missouri,19,3,5,8,0.08884210526315789,0.11257894736842104,0.06747368421052631,0.09647368421052632
UConn,18,4,5,7,0.09966666666666665,0.13377777777777777,0.07222222222222223,0.11305555555555556
UCF,19,4,5,7,0.11010526315789475,0.16099999999999998,0.07563157894736842,0.11778947368421053
North Carolina,22,4,5,10,0.11213636363636365,0.1737272727272727,0.06459090909090909,0.13745454545454547
Bethune-Cookman,12,2,4,4,0.05191666666666667,0.05575,0.04708333333333333,0.05825
Northwestern,20,4,5,7,0.10334999999999998,0.1369,0.061399999999999996,0.10434999999999998
South Alabama,19,2,7,6,0.09068421052631578,0.10652631578947369,0.0728421052631579,0.09357894736842105
The Citadel,11,3,5,3,0.09236363636363637,0.11263636363636363,0.08354545454545455,0.10099999999999998
Sacramento State,11,2,3,4,0.14136363636363636,0.17545454545454547,0.09227272727272728,0.1461818181818182
Ole Miss,23,3,8,9,0.081,0.09647826086956521,0.06521739130434782,0.08243478260869566
Campbell,8,0,3,5,0.062,0.06237500000000001,0.062875,0.06425
Central Michigan,19,4,5,7,0.12194736842105264,0.16526315789473686,0.08821052631578948,0.13547368421052633
South Florida,20,3,6,8,0.1012,0.12605,0.07064999999999999,0.11474999999999999
UTSA,24,3,6,11,0.075,0.09304166666666668,0.05479166666666666,0.07429166666666667
Illinois State,14,2,2,5,0.09378571428571428,0.1362857142857143,0.05364285714285715,0.10807142857142858
West Georgia,8,3,1,3,0.12787500000000002,0.182,0.06025,0.143875
Kansas State,18,3,5,6,0.08877777777777777,0.11094444444444444,0.06888888888888889,0.09244444444444444
Portland State,11,2,4,3,0.09863636363636363,0.14481818181818185,0.06881818181818183,0.11609090909090906
Miami (OH),20,2,7,7,0.0872,0.1116,0.0631,0.0957
North Texas,23,2,7,11,0.0941304347826087,0.09769565217391306,0.08665217391304347,0.0917391304347826
Bryant,13,1,4,5,0.10823076923076923,0.12176923076923077,0.08784615384615384,0.11123076923076923
Buffalo,20,2,6,9,0.05744999999999999,0.06764999999999999,0.045200000000000004,0.05305
Murray State,10,1,3,5,0.0422,0.054200000000000005,0.0334,0.0465
Georgia State,22,3,7,10,0.09086363636363637,0.10640909090909091,0.06854545454545455,0.09172727272727271
Yale,14,3,4,4,0.12457142857142857,0.16292857142857145,0.09171428571428572,0.11792857142857141
Baylor,19,3,5,8,0.10073684210526315,0.13010526315789472,0.07557894736842106,0.10863157894736843
Illinois,17,2,4,8,0.0971764705882353,0.12264705882352941,0.07623529411764707,0.108
Oregon,19,3,5,8,0.08826315789473686,0.11036842105263157,0.06557894736842106,0.1003157894736842
Texas,18,3,6,6,0.10311111111111111,0.1257222222222222,0.07683333333333334,0.1198888888888889
UVA Wise,2,0,1,1,0.051,0.0515,0.05,0.0295
