team,season,week,games_played,wins,losses,win_rate,points_for,points_against,margin,points_per_game,points_allowed_per_game,margin_per_game,home_wins,home_losses,away_wins,away_losses
Abilene Christian,2022,2,1,1,0,1.0,28.0,14.0,14.0,28.0,14.0,14.0,1,0,0,0
Abilene Christian,2022,4,2,2,0,1.0,49.0,27.0,22.0,24.5,13.5,11.0,2,0,0,0
Abilene Christian,2022,7,3,3,0,1.0,83.0,34.0,49.0,27.666666666666668,11.333333333333334,16.333333333333332,3,0,0,0
Abilene Christian,2022,12,4,4,0,1.0,104.0,52.0,52.0,26.0,13.0,13.0,4,0,0,0
Abilene Christian,2023,3,1,1,0,1.0,31.0,11.0,20.0,31.0,11.0,20.0,1,0,0,0
Abilene Christian,2023,7,2,1,1,0.5,51.0,38.0,13.0,25.5,19.0,6.5,1,1,0,0
Abilene Christian,2023,10,3,2,1,0.6666666666666666,81.0,51.0,30.0,27.0,17.0,10.0,2,1,0,0
Abilene Christian,2023,11,4,3,1,0.75,105.0,58.0,47.0,26.25,14.5,11.75,3,1,0,0
Abilene Christian,2024,4,1,1,0,1.0,38.0,24.0,14.0,38.0,24.0,14.0,1,0,0,0
Abilene Christian,2024,6,2,1,1,0.5,62.0,51.0,11.0,31.0,25.5,5.5,1,1,0,0
Abilene Christian,2024,8,3,2,1,0.6666666666666666,103.0,85.0,18.0,34.333333333333336,28.333333333333332,6.0,2,1,0,0
Abilene Christian,2024,10,4,3,1,0.75,137.0,105.0,32.0,34.25,26.25,8.0,3,1,0,0
Abilene Christian,2024,14,5,4,1,0.8,165.0,130.0,35.0,33.0,26.0,7.0,4,1,0,0
Adams State,2022,5,1,0,1,0.0,10.0,84.0,-74.0,10.0,84.0,-74.0,0,1,0,0
Adams State,2022,6,2,0,2,0.0,31.0,107.0,-76.0,15.5,53.5,-38.0,0,2,0,0
Adams State,2022,8,3,0,3,0.0,51.0,159.0,-108.0,17.0,53.0,-36.0,0,3,0,0
Adams State,2022,10,4,1,3,0.25,96.0,190.0,-94.0,24.0,47.5,-23.5,1,3,0,0
Adams State,2023,4,1,1,0,1.0,35.0,16.0,19.0,35.0,16.0,19.0,1,0,0,0
Adams State,2023,7,2,2,0,1.0,60.0,40.0,20.0,30.0,20.0,10.0,2,0,0,0
Adams State,2023,9,3,2,1,0.6666666666666666,74.0,93.0,-19.0,24.666666666666668,31.0,-6.333333333333333,2,1,0,0
Adams State,2023,11,4,2,2,0.5,83.0,156.0,-73.0,20.75,39.0,-18.25,2,2,0,0
Adams State,2024,5,1,0,1,0.0,30.0,39.0,-9.0,30.0,39.0,-9.0,0,1,0,0
Adams State,2024,7,2,0,2,0.0,40.0,105.0,-65.0,20.0,52.5,-32.5,0,2,0,0
Adams State,2024,8,3,0,3,0.0,50.0,157.0,-107.0,16.666666666666668,52.333333333333336,-35.666666666666664,0,3,0,0
Adams State,2024,10,4,0,4,0.0,64.0,213.0,-149.0,16.0,53.25,-37.25,0,4,0,0
Adams State,2024,12,5,0,5,0.0,81.0,240.0,-159.0,16.2,48.0,-31.8,0,5,0,0
Adrian,2022,4,1,1,0,1.0,33.0,0.0,33.0,33.0,0.0,33.0,1,0,0,0
Adrian,2022,6,2,2,0,1.0,106.0,13.0,93.0,53.0,6.5,46.5,2,0,0,0
Adrian,2022,7,3,2,1,0.6666666666666666,127.0,40.0,87.0,42.333333333333336,13.333333333333334,29.0,2,1,0,0
Adrian,2022,11,4,3,1,0.75,169.0,57.0,112.0,42.25,14.25,28.0,3,1,0,0
Adrian,2023,3,1,0,1,0.0,17.0,34.0,-17.0,17.0,34.0,-17.0,0,1,0,0
Adrian,2023,5,2,1,1,0.5,40.0,49.0,-9.0,20.0,24.5,-4.5,1,1,0,0
Adrian,2023,9,3,1,2,0.3333333333333333,61.0,79.0,-18.0,20.333333333333332,26.333333333333332,-6.0,1,2,0,0
Adrian,2023,10,4,1,3,0.25,82.0,113.0,-31.0,20.5,28.25,-7.75,1,3,0,0
Adrian,2024,3,1,1,0,1.0,55.0,20.0,35.0,55.0,20.0,35.0,1,0,0,0
Adrian,2024,5,2,2,0,1.0,93.0,40.0,53.0,46.5,20.0,26.5,2,0,0,0
Adrian,2024,8,3,3,0,1.0,117.0,54.0,63.0,39.0,18.0,21.0,3,0,0,0
Adrian,2024,10,4,4,0,1.0,147.0,64.0,83.0,36.75,16.0,20.75,4,0,0,0
Adrian,2024,12,5,5,0,1.0,182.0,85.0,97.0,36.4,17.0,19.4,5,0,0,0
Air Force,2022,2,2,2,0,1.0,78.0,32.0,46.0,39.0,16.0,23.0,2,0,0,0
Air Force,2022,4,3,3,0,1.0,119.0,42.0,77.0,39.666666666666664,14.0,25.666666666666668,3,0,0,0
Air Force,2022,5,4,4,0,1.0,167.0,62.0,105.0,41.75,15.5,26.25,4,0,0,0
Air Force,2022,8,5,5,0,1.0,180.0,72.0,108.0,36.0,14.4,21.6,5,0,0,0
Air Force,2022,11,6,5,1,0.8333333333333334,194.0,91.0,103.0,32.333333333333336,15.166666666666666,17.166666666666668,5,1,0,0
Air Force,2022,12,7,6,1,0.8571428571428571,229.0,94.0,135.0,32.714285714285715,13.428571428571429,19.285714285714285,6,1,0,0
Air Force,2023,3,2,2,0,1.0,73.0,28.0,45.0,36.5,14.0,22.5,2,0,0,0
Air Force,2023,5,3,3,0,1.0,112.0,49.0,63.0,37.333333333333336,16.333333333333332,21.0,3,0,0,0
Air Force,2023,7,4,4,0,1.0,161.0,59.0,102.0,40.25,14.75,25.5,4,0,0,0
Air Force,2023,10,5,5,0,1.0,195.0,86.0,109.0,39.0,17.2,21.8,5,0,0,0
Air Force,2023,12,6,5,1,0.8333333333333334,198.0,109.0,89.0,33.0,18.166666666666668,14.833333333333334,5,1,0,0
Air Force,2024,2,1,1,0,1.0,21.0,6.0,15.0,21.0,6.0,15.0,1,0,0,0
Air Force,2024,6,2,1,1,0.5,28.0,23.0,5.0,14.0,11.5,2.5,1,1,0,0
Air Force,2024,8,3,1,2,0.3333333333333333,35.0,57.0,-22.0,11.666666666666666,19.0,-7.333333333333333,1,2,0,0
Air Force,2024,11,4,1,3,0.25,48.0,78.0,-30.0,12.0,19.5,-7.5,1,3,0,0
Air Force,2024,12,5,2,3,0.4,84.0,106.0,-22.0,16.8,21.2,-4.4,2,3,0,0
Akron,2022,5,1,1,0,1.0,30.0,23.0,7.0,30.0,23.0,7.0,1,0,0,0
Akron,2022,7,2,1,1,0.5,58.0,54.0,4.0,29.0,27.0,2.0,1,1,0,0
Akron,2022,9,3,1,2,0.3333333333333333,79.0,82.0,-3.0,26.333333333333332,27.333333333333332,-1.0,1,2,0,0
Akron,2022,11,4,1,3,0.25,88.0,109.0,-21.0,22.0,27.25,-5.25,1,3,0,0
Akron,2023,5,1,1,0,1.0,24.0,21.0,3.0,24.0,21.0,3.0,1,0,0,0
Akron,2023,6,2,1,1,0.5,34.0,34.0,0.0,17.0,17.0,0.0,1,1,0,0
Akron,2023,10,3,1,2,0.3333333333333333,48.0,89.0,-41.0,16.0,29.666666666666668,-13.666666666666666,1,2,0,0
Akron,2023,13,4,2,2,0.5,79.0,116.0,-37.0,19.75,29.0,-9.25,2,2,0,0
Akron,2024,6,1,1,0,1.0,31.0,20.0,11.0,31.0,20.0,11.0,1,0,0,0
Akron,2024,9,2,1,1,0.5,51.0,47.0,4.0,25.5,23.5,2.0,1,1,0,0
Akron,2024,10,3,2,1,0.6666666666666666,76.0,68.0,8.0,25.333333333333332,22.666666666666668,2.6666666666666665,2,1,0,0
Akron,2024,14,4,2,2,0.5,106.0,109.0,-3.0,26.5,27.25,-0.75,2,2,0,0
Alabama,2022,3,1,1,0,1.0,55.0,0.0,55.0,55.0,0.0,55.0,1,0,0,0
Alabama,2022,4,2,2,0,1.0,118.0,7.0,111.0,59.0,3.5,55.5,2,0,0,0
Alabama,2022,6,3,3,0,1.0,173.0,10.0,163.0,57.666666666666664,3.3333333333333335,54.333333333333336,3,0,0,0
Alabama,2022,8,4,4,0,1.0,197.0,30.0,167.0,49.25,7.5,41.75,4,0,0,0
Alabama,2022,12,5,5,0,1.0,227.0,36.0,191.0,45.4,7.2,38.2,5,0,0,0
Alabama,2022,13,6,6,0,1.0,261.0,36.0,225.0,43.5,6.0,37.5,6,0,0,0
Alabama,2023,2,1,1,0,1.0,56.0,7.0,49.0,56.0,7.0,49.0,1,0,0,0
Alabama,2023,4,2,1,1,0.5,80.0,41.0,39.0,40.0,20.5,19.5,1,1,0,0
Alabama,2023,7,3,2,1,0.6666666666666666,104.0,51.0,53.0,34.666666666666664,17.0,17.666666666666668,2,1,0,0
Alabama,2023,8,4,3,1,0.75,128.0,72.0,56.0,32.0,18.0,14.0,3,1,0,0
Alabama,2023,10,5,4,1,0.8,162.0,92.0,70.0,32.4,18.4,14.0,4,1,0,0
Alabama,2023,12,6,5,1,0.8333333333333334,204.0,120.0,84.0,34.0,20.0,14.0,5,1,0,0
Alabama,2023,14,7,6,1,0.8571428571428571,270.0,130.0,140.0,38.57142857142857,18.571428571428573,20.0,6,1,0,0
Alabama,2024,2,1,1,0,1.0,63.0,0.0,63.0,63.0,0.0,63.0,1,0,0,0
Alabama,2024,5,2,2,0,1.0,105.0,16.0,89.0,52.5,8.0,44.5,2,0,0,0
Alabama,2024,7,3,3,0,1.0,146.0,50.0,96.0,48.666666666666664,16.666666666666668,32.0,3,0,0,0
Alabama,2024,9,4,4,0,1.0,173.0,75.0,98.0,43.25,18.75,24.5,4,0,0,0
Alabama,2024,12,5,5,0,1.0,207.0,75.0,132.0,41.4,15.0,26.4,5,0,0,0
Alabama,2024,14,6,6,0,1.0,259.0,82.0,177.0,43.166666666666664,13.666666666666666,29.5,6,0,0,0
Alabama A&M,2022,5,1,0,1,0.0,3.0,28.0,-25.0,3.0,28.0,-25.0,0,1,0,0
Alabama A&M,2022,6,2,1,1,0.5,38.0,55.0,-17.0,19.0,27.5,-8.5,1,1,0,0
Alabama A&M,2022,12,3,2,1,0.6666666666666666,75.0,86.0,-11.0,25.0,28.666666666666668,-3.6666666666666665,2,1,0,0
Alabama A&M,2023,4,1,1,0,1.0,51.0,13.0,38.0,51.0,13.0,38.0,1,0,0,0
Alabama A&M,2023,5,2,2,0,1.0,82.0,37.0,45.0,41.0,18.5,22.5,2,0,0,0
Alabama A&M,2023,6,3,3,0,1.0,140.0,40.0,100.0,46.666666666666664,13.333333333333334,33.333333333333336,3,0,0,0
Alabama A&M,2023,10,4,3,1,0.75,170.0,85.0,85.0,42.5,21.25,21.25,3,1,0,0
Alabama A&M,2023,12,5,3,2,0.6,198.0,127.0,71.0,39.6,25.4,14.2,3,2,0,0
Alabama A&M,2024,3,1,1,0,1.0,49.0,7.0,42.0,49.0,7.0,42.0,1,0,0,0
Alabama A&M,2024,7,2,2,0,1.0,73.0,23.0,50.0,36.5,11.5,25.0,2,0,0,0
Alabama A&M,2024,9,3,3,0,1.0,129.0,35.0,94.0,43.0,11.666666666666666,31.333333333333332,3,0,0,0
Alabama A&M,2024,10,4,3,1,0.75,148.0,62.0,86.0,37.0,15.5,21.5,3,1,0,0
Alabama A&M,2024,12,5,3,2,0.6,168.0,87.0,81.0,33.6,17.4,16.2,3,2,0,0
Alabama State,2022,4,2,2,0,1.0,44.0,26.0,18.0,22.0,13.0,9.0,2,0,0,0
Alabama State,2022,6,3,2,1,0.6666666666666666,59.0,51.0,8.0,19.666666666666668,17.0,2.6666666666666665,2,1,0,0
Alabama State,2022,7,4,2,2,0.5,71.0,77.0,-6.0,17.75,19.25,-1.5,2,2,0,0
Alabama State,2022,9,5,3,2,0.6,95.0,86.0,9.0,19.0,17.2,1.8,3,2,0,0
Alabama State,2022,11,6,4,2,0.6666666666666666,119.0,103.0,16.0,19.833333333333332,17.166666666666668,2.6666666666666665,4,2,0,0
Alabama State,2022,13,7,4,3,0.5714285714285714,133.0,124.0,9.0,19.0,17.714285714285715,1.2857142857142858,4,3,0,0
Alabama State,2023,2,1,1,0,1.0,14.0,10.0,4.0,14.0,10.0,4.0,1,0,0,0
Alabama State,2023,5,2,1,1,0.5,31.0,31.0,0.0,15.5,15.5,0.0,1,1,0,0
Alabama State,2023,6,3,1,2,0.3333333333333333,51.0,54.0,-3.0,17.0,18.0,-1.0,1,2,0,0
Alabama State,2023,9,4,2,2,0.5,70.0,68.0,2.0,17.5,17.0,0.5,2,2,0,0
Alabama State,2023,10,5,3,2,0.6,101.0,84.0,17.0,20.2,16.8,3.4,3,2,0,0
Alabama State,2023,13,6,4,2,0.6666666666666666,118.0,90.0,28.0,19.666666666666668,15.0,4.666666666666667,4,2,0,0
Alabama State,2024,2,1,0,1,0.0,24.0,31.0,-7.0,24.0,31.0,-7.0,0,1,0,0
Alabama State,2024,6,2,1,1,0.5,48.0,34.0,14.0,24.0,17.0,7.0,1,1,0,0
Alabama State,2024,7,3,1,2,0.3333333333333333,61.0,62.0,-1.0,20.333333333333332,20.666666666666668,-0.3333333333333333,1,2,0,0
Alabama State,2024,10,4,2,2,0.5,115.0,79.0,36.0,28.75,19.75,9.0,2,2,0,0
Alabama State,2024,12,5,3,2,0.6,136.0,96.0,40.0,27.2,19.2,8.0,3,2,0,0
Alabama State,2024,13,6,3,3,0.5,146.0,112.0,34.0,24.333333333333332,18.666666666666668,5.666666666666667,3,3,0,0
Alabama State,2024,14,7,4,3,0.5714285714285714,155.0,118.0,37.0,22.142857142857142,16.857142857142858,5.285714285714286,4,3,0,0
Albany State GA,2022,5,1,1,0,1.0,28.0,14.0,14.0,28.0,14.0,14.0,1,0,0,0
Albany State GA,2022,7,2,2,0,1.0,48.0,17.0,31.0,24.0,8.5,15.5,2,0,0,0
Albany State GA,2022,9,3,2,1,0.6666666666666666,68.0,41.0,27.0,22.666666666666668,13.666666666666666,9.0,2,1,0,0
Albany State GA,2022,10,4,3,1,0.75,99.0,48.0,51.0,24.75,12.0,12.75,3,1,0,0
Albany State GA,2023,4,1,0,1,0.0,16.0,21.0,-5.0,16.0,21.0,-5.0,0,1,0,0
Albany State GA,2023,6,2,1,1,0.5,31.0,33.0,-2.0,15.5,16.5,-1.0,1,1,0,0
Albany State GA,2023,7,3,2,1,0.6666666666666666,79.0,33.0,46.0,26.333333333333332,11.0,15.333333333333334,2,1,0,0
Albany State GA,2023,9,4,2,2,0.5,106.0,72.0,34.0,26.5,18.0,8.5,2,2,0,0
Albany State GA,2024,5,1,0,1,0.0,40.0,43.0,-3.0,40.0,43.0,-3.0,0,1,0,0
Albany State GA,2024,8,2,1,1,0.5,89.0,64.0,25.0,44.5,32.0,12.5,1,1,0,0
Albany State GA,2024,9,3,2,1,0.6666666666666666,141.0,70.0,71.0,47.0,23.333333333333332,23.666666666666668,2,1,0,0
Albion,2022,2,1,1,0,1.0,52.0,0.0,52.0,52.0,0.0,52.0,1,0,0,0
Albion,2022,6,2,2,0,1.0,103.0,2.0,101.0,51.5,1.0,50.5,2,0,0,0
Albion,2022,9,3,3,0,1.0,133.0,12.0,121.0,44.333333333333336,4.0,40.333333333333336,3,0,0,0
Albion,2022,10,4,4,0,1.0,170.0,21.0,149.0,42.5,5.25,37.25,4,0,0,0
Albion,2023,4,1,1,0,1.0,48.0,19.0,29.0,48.0,19.0,29.0,1,0,0,0
Albion,2023,5,2,2,0,1.0,78.0,26.0,52.0,39.0,13.0,26.0,2,0,0,0
Albion,2023,8,3,3,0,1.0,122.0,43.0,79.0,40.666666666666664,14.333333333333334,26.333333333333332,3,0,0,0
Albion,2023,11,4,3,1,0.75,150.0,78.0,72.0,37.5,19.5,18.0,3,1,0,0
Albion,2024,3,1,1,0,1.0,31.0,23.0,8.0,31.0,23.0,8.0,1,0,0,0
Albion,2024,6,2,2,0,1.0,87.0,44.0,43.0,43.5,22.0,21.5,2,0,0,0
Albion,2024,9,3,3,0,1.0,125.0,71.0,54.0,41.666666666666664,23.666666666666668,18.0,3,0,0,0
Albion,2024,11,4,4,0,1.0,153.0,94.0,59.0,38.25,23.5,14.75,4,0,0,0
Albright,2022,3,1,0,1,0.0,14.0,28.0,-14.0,14.0,28.0,-14.0,0,1,0,0
Albright,2022,4,2,0,2,0.0,35.0,55.0,-20.0,17.5,27.5,-10.0,0,2,0,0
Albright,2022,7,3,0,3,0.0,35.0,100.0,-65.0,11.666666666666666,33.333333333333336,-21.666666666666668,0,3,0,0
Albright,2022,10,4,0,4,0.0,56.0,127.0,-71.0,14.0,31.75,-17.75,0,4,0,0
Albright,2023,4,1,0,1,0.0,10.0,41.0,-31.0,10.0,41.0,-31.0,0,1,0,0
Albright,2023,6,2,0,2,0.0,16.0,55.0,-39.0,8.0,27.5,-19.5,0,2,0,0
Albright,2023,8,3,0,3,0.0,16.0,93.0,-77.0,5.333333333333333,31.0,-25.666666666666668,0,3,0,0
Albright,2023,11,4,0,4,0.0,19.0,141.0,-122.0,4.75,35.25,-30.5,0,4,0,0
Albright,2024,5,1,1,0,1.0,17.0,6.0,11.0,17.0,6.0,11.0,1,0,0,0
Albright,2024,7,2,1,1,0.5,37.0,47.0,-10.0,18.5,23.5,-5.0,1,1,0,0
Albright,2024,10,3,1,2,0.3333333333333333,47.0,60.0,-13.0,15.666666666666666,20.0,-4.333333333333333,1,2,0,0
Albright,2024,11,4,2,2,0.5,69.0,79.0,-10.0,17.25,19.75,-2.5,2,2,0,0
Alcorn State,2022,4,1,0,1,0.0,27.0,31.0,-4.0,27.0,31.0,-4.0,0,1,0,0
Alcorn State,2022,8,2,1,1,0.5,65.0,52.0,13.0,32.5,26.0,6.5,1,1,0,0
Alcorn State,2022,11,3,1,2,0.3333333333333333,92.0,86.0,6.0,30.666666666666668,28.666666666666668,2.0,1,2,0,0
Alcorn State,2022,12,4,2,2,0.5,109.0,100.0,9.0,27.25,25.0,2.25,2,2,0,0
Alcorn State,2023,4,1,1,0,1.0,17.0,3.0,14.0,17.0,3.0,14.0,1,0,0,0
Alcorn State,2023,6,2,1,1,0.5,37.0,26.0,11.0,18.5,13.0,5.5,1,1,0,0
Alcorn State,2023,9,3,2,1,0.6666666666666666,62.0,50.0,12.0,20.666666666666668,16.666666666666668,4.0,2,1,0,0
Alcorn State,2023,10,4,3,1,0.75,86.0,53.0,33.0,21.5,13.25,8.25,3,1,0,0
Alcorn State,2024,6,1,1,0,1.0,38.0,7.0,31.0,38.0,7.0,31.0,1,0,0,0
Alcorn State,2024,11,2,2,0,1.0,76.0,35.0,41.0,38.0,17.5,20.5,2,0,0,0
Alcorn State,2024,13,3,3,0,1.0,118.0,56.0,62.0,39.333333333333336,18.666666666666668,20.666666666666668,3,0,0,0
Alderson-Broaddus,2022,3,1,0,1,0.0,28.0,45.0,-17.0,28.0,45.0,-17.0,0,1,0,0
Alderson-Broaddus,2022,5,2,0,2,0.0,69.0,101.0,-32.0,34.5,50.5,-16.0,0,2,0,0
Alderson-Broaddus,2022,6,3,0,3,0.0,72.0,131.0,-59.0,24.0,43.666666666666664,-19.666666666666668,0,3,0,0
Alderson-Broaddus,2022,8,4,0,4,0.0,79.0,182.0,-103.0,19.75,45.5,-25.75,0,4,0,0
Alderson-Broaddus,2022,11,5,0,5,0.0,109.0,213.0,-104.0,21.8,42.6,-20.8,0,5,0,0
Alderson-Broaddus,2023,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
Alderson-Broaddus,2023,4,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
Alfred State,2022,2,1,1,0,1.0,17.0,14.0,3.0,17.0,14.0,3.0,1,0,0,0
Alfred State,2022,4,2,1,1,0.5,34.0,44.0,-10.0,17.0,22.0,-5.0,1,1,0,0
Alfred State,2022,6,3,2,1,0.6666666666666666,76.0,77.0,-1.0,25.333333333333332,25.666666666666668,-0.3333333333333333,2,1,0,0
Alfred State,2022,8,4,3,1,0.75,118.0,110.0,8.0,29.5,27.5,2.0,3,1,0,0
Alfred State,2022,10,5,3,2,0.6,153.0,146.0,7.0,30.6,29.2,1.4,3,2,0,0
Alfred State,2023,4,1,0,1,0.0,13.0,31.0,-18.0,13.0,31.0,-18.0,0,1,0,0
Alfred State,2023,6,2,1,1,0.5,61.0,38.0,23.0,30.5,19.0,11.5,1,1,0,0
Alfred State,2023,7,3,2,1,0.6666666666666666,102.0,53.0,49.0,34.0,17.666666666666668,16.333333333333332,2,1,0,0
Alfred State,2023,10,4,3,1,0.75,148.0,73.0,75.0,37.0,18.25,18.75,3,1,0,0
Alfred State,2024,3,1,1,0,1.0,13.0,0.0,13.0,13.0,0.0,13.0,1,0,0,0
Alfred State,2024,6,2,1,1,0.5,13.0,28.0,-15.0,6.5,14.0,-7.5,1,1,0,0
Alfred State,2024,8,3,2,1,0.6666666666666666,34.0,35.0,-1.0,11.333333333333334,11.666666666666666,-0.3333333333333333,2,1,0,0
Alfred State,2024,10,4,3,1,0.75,92.0,35.0,57.0,23.0,8.75,14.25,3,1,0,0
Alfred University,2022,4,1,0,1,0.0,37.0,43.0,-6.0,37.0,43.0,-6.0,0,1,0,0
Alfred University,2022,7,2,1,1,0.5,68.0,66.0,2.0,34.0,33.0,1.0,1,1,0,0
