id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401628330,2024,1,regular,2024-08-31T16:45:00.000Z,False,True,False,False,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,69,"[24, 21, 10, 14]",0.9989676752583595,1751,1751,236,Chattanooga,fcs,Southern,3,"[0, 0, 3, 0]",0.0010323247416405001,,,2.0752113158,,
401628346,2024,2,regular,2024-09-07T23:30:00.000Z,False,True,True,False,72730,3628,Bank of America Stadium,152,NC State,fbs,ACC,10,"[0, 3, 7, 0]",0.0013081611453792652,1606,1512,2633,Tennessee,fbs,SEC,51,"[7, 13, 17, 14]",0.9986918388546208,1751.0,1845.0,2.6876723747,,Duke’s Mayo Classic
401628360,2024,3,regular,2024-09-14T23:45:00.000Z,False,True,False,False,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,71,"[37, 28, 3, 3]",0.9989675661261332,1845,1964,2309,Kent State,fbs,Mid-American,0,"[0, 0, 0, 0]",0.001032433873866756,1108.0,989.0,2.464570702,,
401628369,2024,4,regular,2024-09-21T23:30:00.000Z,False,True,False,True,84701,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,15,"[3, 0, 0, 12]",0.09017369358378567,1848,1837,2633,Tennessee,fbs,SEC,25,"[10, 9, 3, 3]",0.9098263064162143,1964.0,1975.0,4.1458506038,,
401628379,2024,6,regular,2024-10-05T23:30:00.000Z,False,True,False,True,75573,3887,Razorback Stadium,8,Arkansas,fbs,SEC,19,"[3, 0, 7, 9]",0.853422504219712,1485,1513,2633,Tennessee,fbs,SEC,14,"[0, 0, 14, 0]",0.146577495780288,1975.0,1947.0,9.4409572777,,
401628391,2024,7,regular,2024-10-12T23:00:00.000Z,False,True,False,True,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,23,"[0, 0, 10, 7, 6]",0.7931088508179842,1947,1936,57,Florida,fbs,SEC,17,"[3, 0, 7, 7, 0]",0.2068911491820158,1537.0,1548.0,7.2760140012,,
401628397,2024,8,regular,2024-10-19T19:30:00.000Z,False,True,False,True,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,24,"[0, 0, 14, 10]",0.9341870502227599,1936,1950,333,Alabama,fbs,SEC,17,"[0, 7, 3, 7]",0.06581294977724006,2010.0,1996.0,9.9902493945,,
401628412,2024,10,regular,2024-11-02T23:45:00.000Z,False,True,False,True,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,28,"[0, 7, 14, 7]",0.957040303957247,1950,1939,96,Kentucky,fbs,SEC,18,"[7, 3, 0, 8]",0.04295969604275296,1526.0,1537.0,8.1829708813,,
401628416,2024,11,regular,2024-11-10T00:00:00.000Z,False,True,False,True,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,33,"[7, 13, 10, 3]",0.9685622489341695,1939,1930,344,Mississippi State,fbs,SEC,14,"[0, 7, 7, 0]",0.031437751065830466,1353.0,1362.0,8.3072896155,,
401628421,2024,12,regular,2024-11-17T00:30:00.000Z,False,True,False,True,93033,3917,Sanford Stadium,61,Georgia,fbs,SEC,31,"[0, 17, 7, 7]",0.9403962789332209,2007,2029,2633,Tennessee,fbs,SEC,17,"[10, 7, 0, 0]",0.059603721066779136,1930.0,1908.0,6.9384073058,,
401628435,2024,13,regular,2024-11-23T18:00:00.000Z,False,True,False,False,101915,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,56,"[0, 28, 21, 7]",0.9986035506607549,1908,1979,2638,UTEP,fbs,Conference USA,0,"[0, 0, 0, 0]",0.0013964493392450983,1165.0,1094.0,5.7425869558,,
401628446,2024,14,regular,2024-11-30T17:00:00.000Z,False,True,False,True,28934,3973,FirstBank Stadium,238,Vanderbilt,fbs,SEC,23,"[17, 0, 0, 6]",0.0007556686111774126,1453,1469,2633,Tennessee,fbs,SEC,36,"[7, 17, 9, 3]",0.9992443313888226,1979.0,1963.0,3.8925994934,,
401677177,2024,1,postseason,2024-12-22T01:00:00.000Z,False,True,False,False,102819,3861,Ohio Stadium,194,Ohio State,fbs,Big Ten,42,"[21, 0, 14, 7]",0.9989018538173468,2099,2147,2633,Tennessee,fbs,SEC,17,"[0, 10, 0, 7]",0.001098146182653248,1963.0,1915.0,3.1029131242,,College Football Playoff First Round Game Presented by Allstate
