id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,opponent_games,opponent_wins,opponent_losses,opponent_win_pct,opponent_ppg,opponent_papg,opponent_ypg,opponent_yapg,opponent_pass_ypg,opponent_rush_ypg,opponent_pass_yapg,opponent_rush_yapg,opponent_turnovers,opponent_turnovers_forced,opponent_penalties,opponent_penalty_yards,tennessee_games,tennessee_wins,tennessee_losses,tennessee_win_pct,tennessee_ppg,tennessee_papg,tennessee_ypg,tennessee_yapg,tennessee_pass_ypg,tennessee_rush_ypg,tennessee_pass_yapg,tennessee_rush_yapg,tennessee_turnovers,tennessee_turnovers_forced,tennessee_penalties,tennessee_penalty_yards,opponent_off_eff,opponent_def_eff,opponent_special_eff,opponent_overall_eff,opponent_off_explosiveness,opponent_def_explosiveness,opponent_off_field_pos,opponent_def_field_pos,opponent_off_havoc,opponent_def_havoc,opponent_pass_eff,opponent_pass_def_eff,opponent_rush_eff,opponent_rush_def_eff,tennessee_off_eff,tennessee_def_eff,tennessee_special_eff,tennessee_overall_eff,tennessee_off_explosiveness,tennessee_def_explosiveness,tennessee_off_field_pos,tennessee_def_field_pos,tennessee_off_havoc,tennessee_def_havoc,tennessee_pass_eff,tennessee_pass_def_eff,tennessee_rush_eff,tennessee_rush_def_eff,tennessee_won,tennessee_point_differential,is_home_game,ppg_difference,papg_difference,ypg_difference,yapg_difference,turnover_difference,efficiency_difference,elo_home_interaction,week_home_interaction,attendance_home_interaction,week_squared,elo_difference_squared,attendance_squared,ppg_ratio,papg_ratio,ypg_ratio,yapg_ratio,is_early_season,is_mid_season,is_late_season,is_postseason,tennessee_points_rolling,opponent_points_rolling,conference_strength,is_cold_weather,is_warm_weather,is_modern_venue,is_old_venue
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,92236.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,59,"[17, 21, 14, 7]",0.9984193930948008,1640,1756,2050,Ball State,fbs,Mid-American,10,"[0, 0, 7, 3]",0.0015806069051993,1410.0,1294.0,1.1199358518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,49,True,0,0,0,0,0,0,230.0,1,92236.0,1,52900.0,8507479696.0,,,,,True,False,False,False,49.0,,0.5,False,True,True,False
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,False,True,True,False,63912.0,3948,Hard Rock Stadium,228,Clemson,fbs,ACC,14,"[0, 3, 3, 8]",0.0316062922115287,1866,1843,2633,Tennessee,fbs,SEC,31,"[7, 7, 7, 10]",0.9683937077884712,1977.0,2000.0,5.5857210475,,Capital One Orange Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,17,False,0,0,0,0,0,0,-0.0,0,0.0,1,12321.0,4084743744.0,,,,,True,False,False,True,33.0,,0.9,False,True,True,False
401403877,2022,2,regular,2022-09-10T19:30:00.000Z,False,True,False,False,59785.0,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,27,"[10, 7, 0, 10, 0]",0.1815298712739166,1667,1661,2633,Tennessee,fbs,SEC,34,"[7, 17, 0, 3, 7]",0.8184701287260834,1756.0,1762.0,8.1259075107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,7,False,0,0,0,0,0,0,-0.0,0,0.0,4,7921.0,3574246225.0,,,,,True,False,False,False,24.333333333333332,,0.9,False,True,True,False
401403889,2022,3,regular,2022-09-17T23:00:00.000Z,False,True,False,False,,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,63,"[14, 21, 14, 14]",0.998945585084284,1762,1835,2006,Akron,fbs,Mid-American,6,"[0, 0, 3, 3]",0.0010544149157158,1009.0,936.0,1.0740770864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,57,True,0,0,0,0,0,0,753.0,3,,9,567009.0,,,,,,True,False,False,False,27.0,,0.5,False,True,True,False
401403901,2022,4,regular,2022-09-24T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,38,"[3, 14, 14, 7]",0.440906432185696,1835,1830,57,Florida,fbs,SEC,33,"[0, 14, 7, 12]",0.5590935678143041,1564.0,1569.0,6.5181355997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5,True,0,0,0,0,0,0,271.0,4,101915.0,16,73441.0,10386667225.0,,,,,True,False,False,False,23.0,,0.9,False,True,True,False
401403913,2022,6,regular,2022-10-08T16:00:00.000Z,False,True,False,True,102321.0,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,13,"[0, 7, 0, 6]",0.0080536893456858,1644,1593,2633,Tennessee,fbs,SEC,40,"[13, 10, 14, 3]",0.9919463106543142,1830.0,1881.0,2.8471575872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,27,False,0,0,0,0,0,0,-0.0,0,0.0,36,34596.0,10469587041.0,,,,,False,True,False,False,29.666666666666668,,0.9,False,False,True,False
401403921,2022,7,regular,2022-10-15T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,52,"[21, 7, 6, 18]",0.5294238354365478,1881,1886,333,Alabama,fbs,SEC,49,"[7, 13, 15, 14]",0.4705761645634522,2179.0,2174.0,8.7901495549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,True,0,0,0,0,0,0,-298.0,7,101915.0,49,88804.0,10386667225.0,,,,,False,True,False,False,11.666666666666666,,0.9,False,False,True,False
401403926,2022,8,regular,2022-10-22T16:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,65,"[21, 31, 6, 7]",0.9989678969866824,1910,1910,2630,UT Martin,fcs,OVC,24,"[7, 0, 7, 10]",0.0010321030133176,,,1.1374797332,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,41,True,0,0,0,0,0,0,,8,101915.0,64,,10386667225.0,,,,,False,True,False,False,23.666666666666668,0.0,0.5,False,False,True,False
401403930,2022,9,regular,2022-10-29T23:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,44,"[7, 20, 10, 7]",0.9984733508448044,1886,1970,96,Kentucky,fbs,SEC,6,"[6, 0, 0, 0]",0.0015266491551955,1696.0,1612.0,2.5217814276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,38,True,0,0,0,0,0,0,190.0,9,101915.0,81,36100.0,10386667225.0,,,,,False,True,False,False,27.333333333333332,0.0,0.9,False,False,True,False
401403933,2022,10,regular,2022-11-05T19:30:00.000Z,False,True,False,True,92746.0,3917,Sanford Stadium,61,Georgia,fbs,SEC,27,"[14, 10, 3, 0]",0.9971422488560808,2155,2168,2633,Tennessee,fbs,SEC,13,"[3, 3, 0, 7]",0.0028577511439192,1970.0,1957.0,2.6998191137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-14,False,0,0,0,0,0,0,0.0,0,0.0,100,34225.0,8601820516.0,,,,,False,False,True,False,21.666666666666668,0.0,0.9,True,False,True,False
