id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,actual_spread,tennessee_actual_spread,home_off_ppa,home_off_success_rate,home_off_explosiveness,home_off_power_success,home_off_stuff_rate,home_def_ppa,home_def_success_rate,home_def_explosiveness,home_def_power_success,home_def_stuff_rate,home_recruiting_rank,home_recruiting_points,home_talent_score,away_off_ppa,away_off_success_rate,away_off_explosiveness,away_off_power_success,away_off_stuff_rate,away_def_ppa,away_def_success_rate,away_def_explosiveness,away_def_power_success,away_def_stuff_rate,away_recruiting_rank,away_recruiting_points,away_talent_score,off_ppa_diff,off_success_rate_diff,off_explosiveness_diff,def_ppa_diff,def_success_rate_diff,recruiting_rank_diff,talent_score_diff,home_advanced_total_players,home_advanced_qb_count,home_advanced_rb_count,home_advanced_wr_count,home_advanced_avg_overall_usage,home_advanced_avg_pass_usage,home_advanced_avg_rush_usage,home_advanced_avg_third_down_usage,home_advanced_outgoing_transfers,home_advanced_incoming_transfers,home_advanced_net_transfers,home_advanced_avg_outgoing_stars,home_advanced_avg_incoming_stars,home_advanced_high_star_outgoing,home_advanced_high_star_incoming,home_advanced_off_ppa_overall,home_advanced_off_ppa_passing,home_advanced_off_ppa_rushing,home_advanced_off_ppa_first_down,home_advanced_off_ppa_second_down,home_advanced_off_ppa_third_down,home_advanced_def_ppa_overall,home_advanced_def_ppa_passing,home_advanced_def_ppa_rushing,home_advanced_def_ppa_first_down,home_advanced_def_ppa_second_down,home_advanced_def_ppa_third_down,away_advanced_total_players,away_advanced_qb_count,away_advanced_rb_count,away_advanced_wr_count,away_advanced_avg_overall_usage,away_advanced_avg_pass_usage,away_advanced_avg_rush_usage,away_advanced_avg_third_down_usage,away_advanced_outgoing_transfers,away_advanced_incoming_transfers,away_advanced_net_transfers,away_advanced_avg_outgoing_stars,away_advanced_avg_incoming_stars,away_advanced_high_star_outgoing,away_advanced_high_star_incoming,away_advanced_off_ppa_overall,away_advanced_off_ppa_passing,away_advanced_off_ppa_rushing,away_advanced_off_ppa_first_down,away_advanced_off_ppa_second_down,away_advanced_off_ppa_third_down,away_advanced_def_ppa_overall,away_advanced_def_ppa_passing,away_advanced_def_ppa_rushing,away_advanced_def_ppa_first_down,away_advanced_def_ppa_second_down,away_advanced_def_ppa_third_down,advanced_total_players_diff,advanced_qb_count_diff,advanced_rb_count_diff,advanced_wr_count_diff,advanced_avg_overall_usage_diff,advanced_avg_pass_usage_diff,advanced_avg_rush_usage_diff,advanced_avg_third_down_usage_diff,advanced_outgoing_transfers_diff,advanced_incoming_transfers_diff,advanced_net_transfers_diff,advanced_avg_outgoing_stars_diff,advanced_avg_incoming_stars_diff,advanced_high_star_outgoing_diff,advanced_high_star_incoming_diff,advanced_off_ppa_overall_diff,advanced_off_ppa_passing_diff,advanced_off_ppa_rushing_diff,advanced_def_ppa_overall_diff,advanced_def_ppa_passing_diff,advanced_def_ppa_rushing_diff,home_current_wins,home_current_losses,home_current_total_games,home_current_win_rate,home_current_points_for,home_current_points_against,home_current_points_per_game,home_current_points_allowed_per_game,home_current_margin_per_game,home_current_off_ppa,home_current_def_ppa,home_current_off_success_rate,home_current_def_success_rate,home_current_ap_rank,home_current_coaches_rank,home_current_ap_points,home_current_coaches_points,home_current_avg_rank,home_current_avg_points,away_current_wins,away_current_losses,away_current_total_games,away_current_win_rate,away_current_points_for,away_current_points_against,away_current_points_per_game,away_current_points_allowed_per_game,away_current_margin_per_game,away_current_off_ppa,away_current_def_ppa,away_current_off_success_rate,away_current_def_success_rate,away_current_ap_rank,away_current_coaches_rank,away_current_ap_points,away_current_coaches_points,away_current_avg_rank,away_current_avg_points,current_wins_diff,current_losses_diff,current_total_games_diff,current_win_rate_diff,current_points_for_diff,current_points_against_diff,current_points_per_game_diff,current_points_allowed_per_game_diff,current_margin_per_game_diff,current_off_ppa_diff,current_def_ppa_diff,current_off_success_rate_diff,current_def_success_rate_diff,current_ap_rank_diff,current_coaches_rank_diff,current_ap_points_diff,current_coaches_points_diff,current_avg_rank_diff,current_avg_points_diff,vegas_avg_spread,vegas_avg_price,vegas_spread_range,vegas_total_spreads
401403864,2022,1,regular,2022-09-01T23:00:00.000Z,False,True,False,False,92236.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,59,"[17, 21, 14, 7]",0.9984193930948008,1640,1756,2050,Ball State,fbs,Mid-American,10,"[0, 0, 7, 3]",0.0015806069051993,1410.0,1294.0,1.1199358518,,,49,49,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.1168070697815438,0.4104477611940298,1.2391439371890978,0.7674418604651163,0.1402985074626865,0.3492606297720458,0.4713375796178344,1.4537913967360996,0.7450980392156863,0.1618798955613577,112.0,140.08,464.07,0.1210023447142289,0.0666355721393034,-0.1166873287098131,-0.2989756651763937,-0.1106620669519719,-98,394.6,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,22,3,5,10,0.0805,0.0973181818181818,0.0594545454545454,0.0879545454545454,16,11,-5,2.6666666666666665,3.0,0,0,0.12,0.16,0.07,-0.05,0.02,0.53,0.35,0.47,0.26,0.1,0.51,0.71,2,1,2,0,-0.001875,0.0030568181818181,0.0020454545454545,-0.0074545454545454,0,-2,-2,0.4047619047619051,0.4444444444444446,1,4,0.12,0.12,0.1399999999999999,-0.3,-0.3199999999999999,-0.27,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1195034896748244,0.4132013448283259,0.22,0.5483870967741935,999.0,999.0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0.5863763332491254,-0.3200856541323931,0.35738095238095235,-0.1512239762068176,-984,-984,537,733,-984.0,635.0,0,0,0,0
401442019,2022,1,postseason,2022-12-31T01:00:00.000Z,False,True,True,False,63912.0,3948,Hard Rock Stadium,228,Clemson,fbs,ACC,14,"[0, 3, 3, 8]",0.0316062922115287,1866,1843,2633,Tennessee,fbs,SEC,31,"[7, 7, 7, 10]",0.9683937077884712,1977.0,2000.0,5.5857210475,,Capital One Orange Bowl,-17,17,0.2509739237613553,0.4629258517034068,1.2502632427410765,0.7384615384615385,0.1617977528089887,0.1334981085814716,0.4036208732694356,1.3423989635688816,0.6226415094339622,0.1842696629213483,11,272.19,924.63,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,0.0131645092655825,-0.0141574816299265,0.1278066342617916,0.0832131439858195,0.042945360603573,-3,65.96000000000004,23,3,8,8,0.0801304347826086,0.0980434782608695,0.0583478260869565,0.0843043478260869,11,0,-11,3.090909090909091,0.0,2,0,0.25,0.27,0.25,0.07,0.24,0.71,0.13,0.12,0.19,-0.02,0.17,0.45,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,-1,-1,1,-2,0.0015054347826086,-0.0023315217391304,-0.0031521739130434,0.0038043478260869,-5,-9,-4,0.0194805194805192,-3.4444444444444446,1,-4,0.01,-0.01,0.04,0.08,-0.03,0.2,0,0,0,0,0,0,0,0,0,0.0344457167631947,0.067468577073466,0.3893805309734513,0.3816793893129771,12,11,894,995,11.5,944.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15.0,15.0,537.0,733.0,15.0,635.0,0,0,0,0,0,0,0,0,0,-0.4324271268111063,-0.0256471136224668,-0.188000421407501,-0.01548373125439878,-3,-4,357,262,-3.5,309.5,0,0,0,0
401403877,2022,2,regular,2022-09-10T19:30:00.000Z,False,True,False,False,59785.0,3752,Acrisure Stadium,221,Pittsburgh,fbs,ACC,27,"[10, 7, 0, 10, 0]",0.1815298712739166,1667,1661,2633,Tennessee,fbs,SEC,34,"[7, 17, 0, 3, 7]",0.8184701287260834,1756.0,1762.0,8.1259075107,,,-7,7,0.1563534456331031,0.4200661521499448,1.3500831029531577,0.7678571428571429,0.1742627345844504,0.0992697749695182,0.3802966101694915,1.4077478409224855,0.4791666666666667,0.2586605080831409,41,204.1,713.74,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,-0.0814559688626697,-0.0570171811833885,0.227626494473873,0.048984810373866,0.019621097503629,27,-144.92999999999995,22,4,5,10,0.1085454545454545,0.1288636363636363,0.0805909090909091,0.1134090909090909,22,14,-8,3.1666666666666665,2.9285714285714284,3,0,0.16,0.13,0.19,-0.02,0.25,0.33,0.1,0.22,-0.02,-0.12,0.13,0.48,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,-2,0,-2,0,0.0299204545454545,0.0284886363636363,0.0190909090909091,0.0329090909090909,6,5,-1,0.0952380952380949,-0.5158730158730163,2,-4,-0.0799999999999999,-0.15,-0.0199999999999999,0.05,0.07,-0.01,0,0,0,0,0,0,0,0,0,0.4315008305436866,-0.0019050908677351,0.512396694214876,0.2113821138211382,999,999,0,0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15.0,15.0,537.0,733.0,15.0,635.0,0,0,0,0,0,0,0,0,0,-0.03537201303061438,-0.0950207815636679,-0.06498425816607634,-0.1857810067462377,984,984,-537,-733,984.0,-635.0,0,0,0,0
401403889,2022,3,regular,2022-09-17T23:00:00.000Z,False,True,False,False,81532.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,63,"[14, 21, 14, 14]",0.998945585084284,1762,1835,2006,Akron,fbs,Mid-American,6,"[0, 0, 3, 3]",0.0010544149157158,1009.0,936.0,1.0740770864,,,57,57,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.0637900389779065,0.3880208333333333,1.2777041866304133,0.7837837837837838,0.1912225705329153,0.2110495511336605,0.4473039215686274,1.2353903353969045,0.6571428571428571,0.1951219512195122,101.0,146.65,537.82,0.1740193755178662,0.0890625,-0.1552475781511286,-0.1607645865380083,-0.0866284089027649,-87,320.8499999999999,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,14,2,3,7,0.1005714285714285,0.1231428571428571,0.0712857142857142,0.1087857142857142,22,15,-7,2.8095238095238093,2.9285714285714284,0,0,0.06,0.1,0.05,-0.02,0.01,0.43,0.21,0.37,0.11,0.01,0.33,0.54,10,2,4,3,-0.0219464285714285,-0.0227678571428571,-0.0097857142857142,-0.0282857142857142,-6,-6,0,0.2619047619047623,0.5158730158730163,1,4,0.18,0.18,0.1599999999999999,-0.1599999999999999,-0.22,-0.12,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2086066848050492,0.1873324214140376,0.2868852459016393,0.4511278195488721,999.0,999.0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0.6754795283793502,-0.09421673071810481,0.29049570647931305,-0.053964698981496195,-984,-984,537,733,-984.0,635.0,0,0,0,0
401403901,2022,4,regular,2022-09-24T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,38,"[3, 14, 14, 7]",0.440906432185696,1835,1830,57,Florida,fbs,SEC,33,"[0, 14, 7, 12]",0.5590935678143041,1564.0,1569.0,6.5181355997,,,5,5,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.200082226102935,0.44125,1.2171658158836791,0.8113207547169812,0.1666666666666666,0.1314047203328262,0.4282632146709816,1.198085877917999,0.6716417910447762,0.1663157894736842,13.0,268.25,894.24,0.0377271883928377,0.0358333333333333,-0.0947092074043944,-0.0811197557371741,-0.0675877020051191,1,-35.57000000000005,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,22,3,6,10,0.1058636363636363,0.1463181818181818,0.0717272727272727,0.1206363636363636,23,15,-8,3.1904761904761907,3.4,4,6,0.2,0.24,0.17,0.13,0.22,0.34,0.13,0.14,0.12,-0.1,0.23,0.44,2,1,1,0,-0.0272386363636363,-0.0459431818181818,-0.0102272727272727,-0.0401363636363636,-7,-6,1,-0.119047619047619,0.0444444444444447,-3,-2,0.0399999999999999,0.04,0.0399999999999999,-0.08,0.0099999999999999,-0.13,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2431996922801116,-0.0925576707418545,0.4927536231884058,0.2803738317757009,13.0,15.0,737.0,638.0,14.0,687.5,0,0,0,0,0,0,0,0,0,0.22367315129418938,0.1856733614377873,0.08462732919254651,0.116789288791675,2,0,-200,95,1.0,-52.5,0,0,0,0
401403913,2022,6,regular,2022-10-08T16:00:00.000Z,False,True,False,True,102321.0,3958,Tiger Stadium (LA),99,LSU,fbs,SEC,13,"[0, 7, 0, 6]",0.0080536893456858,1644,1593,2633,Tennessee,fbs,SEC,40,"[13, 10, 14, 3]",0.9919463106543142,1830.0,1881.0,2.8471575872,,,-27,27,0.2363725286512884,0.4403973509933774,1.289803843669534,0.8095238095238095,0.1694444444444444,0.170520417762022,0.4136645962732919,1.3570654403365192,0.82,0.1854636591478696,7,278.75,906.19,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,-0.0014368858444843,-0.0366859823399559,0.1673472351902494,0.1202354531663698,0.0529890836074294,-7,47.520000000000095,18,4,4,7,0.1042777777777777,0.1183333333333333,0.0822777777777777,0.1052222222222222,27,10,-17,3.25,3.333333333333333,7,3,0.24,0.33,0.1,0.13,0.12,0.67,0.17,0.21,0.13,0.04,0.15,0.58,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,-6,0,-3,-3,0.0256527777777777,0.0179583333333333,0.0207777777777777,0.0247222222222222,11,1,-10,0.1785714285714283,-0.1111111111111111,6,-1,0.0,0.0499999999999999,-0.1099999999999999,0.12,0.06,0.14,0,0,0,0,0,0,0,0,0,0.0906417974576508,-0.0401400862122248,0.4068965517241379,0.3333333333333333,3,4,1487,1472,3.5,1479.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15.0,15.0,537.0,733.0,15.0,635.0,0,0,0,0,0,0,0,0,0,-0.37623104611665015,-0.1332557769081576,-0.17048440065681442,-0.06382978723404259,-12,-11,950,739,-11.5,844.5,0,0,0,0
401403921,2022,7,regular,2022-10-15T19:30:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,52,"[21, 7, 6, 18]",0.5294238354365478,1881,1886,333,Alabama,fbs,SEC,49,"[7, 13, 15, 14]",0.4705761645634522,2179.0,2174.0,8.7901495549,,,3,3,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.2442450064852975,0.4585308056872038,1.3053765692140382,0.7571428571428571,0.2081545064377682,0.0271408968317383,0.3609534619750283,1.1971261826469255,0.7166666666666667,0.186695278969957,2.0,310.75,1018.28,-0.0064355919895246,0.0185525276461295,-0.1829199607347535,0.0231440677639138,-0.0002779493091658,12,-159.61,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,25,4,7,9,0.0718,0.0972,0.05156,0.07664,38,14,-24,3.612903225806452,3.642857142857143,16,8,0.24,0.29,0.21,0.17,0.07,0.7,0.03,0.1,-0.03,-0.12,0.01,0.26,-1,0,0,1,0.0068249999999999,0.0031749999999999,0.0099399999999999,0.00386,-22,-5,17,-0.5414746543778799,-0.1984126984126981,-15,-4,0.0,-0.0099999999999999,0.0,0.02,0.0499999999999999,0.0199999999999999,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081102897986538,0.1324195341496777,0.475177304964539,0.3245614035087719,19.0,18.0,396.0,436.0,18.5,416.0,0,0,0,0,0,0,0,0,0,0.05876255377564715,-0.039303843453744894,0.1022036474164133,0.07260171705860402,-4,-3,141,297,-3.5,219.0,0,0,0,0
401403926,2022,8,regular,2022-10-22T16:00:00.000Z,False,True,False,False,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,65,"[21, 31, 6, 7]",0.9989678969866824,1910,1910,2630,UT Martin,fcs,OVC,24,"[7, 0, 7, 10]",0.0010321030133176,,,1.1374797332,,,41,41,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,,,,,,,,,,,,,,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.0502849645956521,0.3606755126658625,14,858.67,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,15,4,2,7,0.1051999999999999,0.1555333333333333,0.0645333333333333,0.1123333333333333,5,11,6,3.0,2.727272727272727,0,0,,,,,,,,,,,,,9,0,5,3,-0.0265749999999999,-0.0551583333333333,-0.0030333333333333,-0.0318333333333333,11,-2,-13,0.0714285714285716,0.7171717171717176,1,4,0.24,0.28,0.21,0.05,0.15,-0.01,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,0,0,0,0
401403930,2022,9,regular,2022-10-29T23:00:00.000Z,False,True,False,True,101915.0,3853,Neyland Stadium,2633,Tennessee,fbs,SEC,44,"[7, 20, 10, 7]",0.9984733508448044,1886,1970,96,Kentucky,fbs,SEC,6,"[6, 0, 0, 0]",0.0015266491551955,1696.0,1612.0,2.5217814276,,,38,38,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14,267.26,858.67,0.0866484183778399,0.4166666666666667,1.1707586242568977,0.7543859649122807,0.1847290640394088,0.1392262246358277,0.4439716312056737,1.1176321714500252,0.7735849056603774,0.1858190709046454,24.0,236.86,788.36,0.1511609961179328,0.0604166666666666,-0.0483020157776128,-0.0889412600401755,-0.0832961185398112,-10,70.30999999999995,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,19,3,5,7,0.0956315789473684,0.1166842105263157,0.0765263157894736,0.1008947368421052,23,12,-11,3.0476190476190474,3.272727272727273,2,3,0.09,0.1,0.08,-0.05,0.13,0.32,0.14,0.18,0.11,0.04,0.03,0.42,5,1,2,3,-0.0170065789473684,-0.0163092105263157,-0.0150263157894736,-0.0203947368421052,-7,-3,4,0.0238095238095241,0.1717171717171717,-1,1,0.15,0.18,0.13,-0.09,-0.03,-0.12,0,0,0,0,0,0,0,0,0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15,15,537,733,15.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978558855549025,0.1510246853379928,0.417910447761194,0.3768115942028985,999.0,999.0,0.0,0.0,999.0,0.0,0,0,0,0,0,0,0,0,0,0.3690169580193985,-0.057908994642059994,0.1594705046197583,0.0203515263644774,-984,-984,537,733,-984.0,635.0,0,0,0,0
401403933,2022,10,regular,2022-11-05T19:30:00.000Z,False,True,False,True,92746.0,3917,Sanford Stadium,61,Georgia,fbs,SEC,27,"[14, 10, 3, 0]",0.9971422488560808,2155,2168,2633,Tennessee,fbs,SEC,13,"[3, 3, 0, 7]",0.0028577511439192,1970.0,1957.0,2.6998191137,,,14,-14,0.2319310285982587,0.4615384615384615,1.2192178740647832,0.75,0.1912832929782082,0.1064243579153682,0.3815789473684211,1.2220280505360088,0.7818181818181819,0.171806167400881,1,317.05,1006.89,0.2378094144957728,0.4770833333333333,1.1224566084792846,0.8395061728395061,0.1077199281867145,0.0502849645956521,0.3606755126658625,1.2481620356467935,0.6470588235294118,0.2274881516587677,14.0,267.26,858.67,-0.005878385897514,-0.0155448717948717,0.0967612655854985,0.0561393933197161,0.0209034347025585,-13,148.22000000000003,24,2,8,10,0.0924999999999999,0.1113333333333333,0.0694583333333333,0.0967916666666666,26,11,-15,3.32,3.4545454545454546,10,6,0.23,0.33,0.12,0.11,0.24,0.4,0.11,0.14,0.07,-0.01,0.05,0.36,24,4,7,10,0.078625,0.1003749999999999,0.0615,0.0805,16,9,-7,3.071428571428572,3.4444444444444446,1,4,0.24,0.28,0.21,0.08,0.21,0.58,0.05,0.15,-0.01,-0.12,0.13,0.31,0,-2,1,0,0.0138749999999999,0.0109583333333333,0.0079583333333333,0.0162916666666666,10,2,-8,0.2485714285714282,0.0101010101010099,9,2,-0.0099999999999999,0.0499999999999999,-0.09,0.06,-0.0099999999999999,0.08,0,0,0,0,0,0,0,0,0,0.3317206220928784,-0.0881430977699707,0.5592105263157895,0.3039215686274509,6,3,1350,1488,4.5,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466872843574301,0.0931156906959328,0.5773809523809523,0.3971631205673759,15.0,15.0,537.0,733.0,15.0,635.0,0,0,0,0,0,0,0,0,0,-0.13515222148142259,-0.1812587884659035,-0.018170426065162837,-0.093241551939925,-9,-12,813,755,-10.5,784.0,0,0,0,0
