season,week,seasonType,gameId,homeTeam,awayTeam,spread,homeWinProbability
2024,1,regular,401628319,Alabama,Western Kentucky,-34.0,0.99
2024,1,regular,401636608,Arizona,New Mexico,-28.0,0.973
2024,1,regular,401636609,Arizona State,Wyoming,-6.5,0.673
2024,1,regular,401643774,Charlotte,James Madison,6.5,0.327
2024,1,regular,401634206,Colorado,North Dakota State,-9.5,0.744
2024,1,regular,401628322,Florida,Miami,2.5,0.432
2024,1,regular,401634306,Florida State,Boston College,-16.5,0.872
2024,1,regular,401628323,Georgia,Clemson,-10.5,0.766
2024,1,regular,401643700,Georgia Southern,Boise State,13.0,0.185
2024,1,regular,401635525,Georgia Tech,Florida State,10.0,0.245
2024,1,regular,401634302,Georgia Tech,Georgia State,-20.5,0.921
2024,1,regular,401643858,Hawai'i,Delaware State,-38.5,0.996
2024,1,regular,401628459,Hawai'i,UCLA,13.5,0.176
2024,1,regular,401636611,Houston,UNLV,-3.0,0.582
2024,1,regular,401628449,Indiana,Florida International,-25.5,0.961
2024,1,regular,401640998,Jacksonville State,Coastal Carolina,-3.5,0.595
2024,1,regular,401628324,Kentucky,Southern Miss,-25.5,0.961
2024,1,regular,401628334,LSU,USC,-4.0,0.609
2024,1,regular,401628451,Maryland,UConn,-19.0,0.905
2024,1,regular,401629039,Massachusetts,Eastern Michigan,-2.5,0.568
2024,1,regular,401628452,Michigan,Fresno State,-21.0,0.926
2024,1,regular,401628453,Michigan State,Florida Atlantic,-12.0,0.796
2024,1,regular,401628448,Minnesota,North Carolina,2.0,0.445
2024,1,regular,401628454,Nebraska,UTEP,-27.5,0.971
2024,1,regular,401643696,Nevada,SMU,28.0,0.027
2024,1,regular,401643697,New Mexico,Montana State,10.5,0.234
2024,1,regular,401644683,Northwestern,Miami (OH),-3.0,0.582
2024,1,regular,401628455,Ohio State,Akron,-49.5,1.0
2024,1,regular,401628328,Oklahoma,Temple,-43.0,0.998
2024,1,regular,401634212,Oklahoma State,South Dakota State,-9.5,0.744
2024,1,regular,401634305,Pittsburgh,Kent State,-23.5,0.947
2024,1,regular,401641039,Rice,Sam Houston,-9.5,0.744
2024,1,regular,401643775,South Alabama,North Texas,-6.0,0.66
2024,1,regular,401628329,South Carolina,Old Dominion,-20.5,0.921
2024,1,regular,401634300,Stanford,TCU,8.0,0.291
2024,1,regular,401634304,Syracuse,Ohio,-17.0,0.879
2024,1,regular,401628331,Texas,Colorado State,-35.0,0.992
2024,1,regular,401628332,Texas A&M,Notre Dame,-3.0,0.582
2024,1,regular,401643701,Troy,Nevada,-7.5,0.698
2024,1,regular,401641015,UTSA,Kennesaw State,-24.0,0.951
2024,1,regular,401628333,Vanderbilt,Virginia Tech,13.0,0.185
